householdid,productid,storeid,transactiontime,daydate,loyaltydiscount,coupondiscount,couponmatchdiscount,salesvalue,productdesc,productsubdesc,displayadtypedesc
768,895039,323,6:19 AM,Oct 17,0,0,0,1.09,ELECTRICAL SUPPPLIES,INSIDE FROST BULBS,Rear End Cap
768,1096792,323,6:28 AM,Mar 25,-0.4,0,0,0.99,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,In-Aisle
768,1039937,323,7:00 AM,Dec 23,-1.3,0,0,1.89,BAKED BREAD/BUNS/ROLLS,PREMIUM BREAD,In-Aisle
762,6773230,31862,12:50 PM,Apr 21,-0.18,0,0,2.19,FROZEN PIZZA,PIZZA/ECONOMY,Rear Aisle
696,9527290,31742,4:44 PM,May 6,-0.12,0,0,1.88,BAG SNACKS,POTATO CHIPS,Rear Aisle
715,883963,415,2:38 PM,Sep 12,-1.2,0,0,0.99,HOT DOGS,ECONOMY - MEAT,Rear Aisle
761,1123536,343,12:04 PM,May 20,-0.59,0,0,1,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,In-Aisle
715,8160319,389,8:00 AM,Aug 8,-0.77,0,0,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,In-Aisle
718,1034343,324,1:05 AM,Jun 21,-0.5,0,0,1.79,SNKS/CKYS/CRKR/CNDY,CANDY/CHOCOLATE,Mid-Aisle End Cap
647,8090521,343,12:14 PM,Sep 4,-2.62,0,0,2.67,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Shelf
647,8090537,438,2:48 PM,Oct 19,-2.58,0,0,8,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Aisle
788,17900896,360,11:57 AM,Nov 17,0,-1,0,1,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,Front Aisle
631,1043035,389,12:00 PM,Nov 18,-0.44,0,0,1.34,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,Other Location Display
788,963727,360,8:35 PM,Nov 23,-1.89,0,0,2,SHORTENING/OIL,VEGETABLE/SALAD OIL,In-Aisle
768,5591814,323,6:13 AM,Apr 29,-0.99,0,0,3,CHEESE,SHREDDED CHEESE,In-Aisle
715,972041,354,1:30 PM,Apr 12,0,0,0,2,LUNCHMEAT,POULTRY,Rear Aisle
787,961554,443,7:22 PM,Sep 16,-0.69,0,0,1,CARROTS,CARROTS MINI PEELED,In-Shelf
718,5563934,324,4:36 PM,Aug 17,-0.25,0,0,2.74,DINNER SAUSAGE,SMOKED/COOKED - BEEF,Rear Aisle
631,1045515,389,5:01 PM,Jun 16,-0.78,0,0,1,VEGETABLES - SHELF STABLE,CORN,Other Location Display
696,909086,31742,3:18 PM,Jun 20,0,0,0,1.98,CANDY - PACKAGED,CHEWING GUM,In-Aisle
661,856772,427,10:44 PM,Jul 7,-0.58,0,0,2,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,In-Aisle
762,1104414,391,8:58 PM,Apr 7,-2.18,0,0,4,CRACKERS/MISC BKD FD,SNACK CRACKERS,Front End Cap
718,859010,327,2:49 PM,Feb 9,-0.2,0,0,2.39,BAG SNACKS,TORTILLA/NACHO CHIPS,Other Location Display
788,978077,313,6:28 PM,Feb 9,-3.29,0,0,3.29,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,Rear Aisle
631,1038217,389,2:58 PM,Apr 21,-0.39,0,0,1,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),Rear End Cap
788,871252,360,3:50 PM,Jun 14,-0.44,0,0,1,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,Front End Cap
725,868764,400,1:56 PM,Aug 6,-3.64,0,0,3.52,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
725,868764,400,2:25 PM,Aug 7,-1.82,0,0,1.76,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
715,976480,415,10:46 AM,Nov 14,-1.09,0,0,1,ORAL HYGIENE PRODUCTS,TOOTHPASTE,Side-Aisle End Cap
788,1043590,313,3:20 PM,Oct 4,-0.13,0,0,1.79,SHORTENING/OIL,VEGETABLE/SALAD OIL,Other Location Display
771,834117,424,11:18 AM,May 20,-1,0,0,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,Side-Aisle End Cap
786,1133018,339,9:59 AM,Aug 4,-0.1,0,0,1.89,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
601,1110244,32004,6:07 PM,Aug 22,-0.3,0,0,1.89,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,In-Aisle
786,907647,339,10:09 AM,Aug 25,-0.59,0,0,2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
622,1050883,356,8:24 PM,Jan 22,0,0,0,1.99,SEAFOOD - MISC,SEAFOOD-MISC-SAUCES/MARIN-WET,Rear Aisle
740,1027284,370,3:25 PM,Jan 23,-0.49,0,0,1,FRUIT - SHELF STABLE,FRUIT COCKTAIL FRUIT SALAD,Other Location Display
699,10455568,408,2:44 PM,Dec 28,-1.79,0,0,2,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,Front End Cap
696,6533236,31742,9:38 AM,Apr 11,-1.99,0,0,2,SOFT DRINKS,SOFT DRINKS CAN NON-CARB (EXCE,Rear Aisle
680,922558,352,6:36 PM,Apr 11,0,0,0,0.74,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
718,883404,324,5:32 PM,Apr 11,-0.2,0,0,2.38,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
699,15926863,408,1:15 PM,Sep 12,0,0,0,2.5,BAG SNACKS,POTATO CHIPS,Other Location Display
715,910291,354,1:33 PM,May 19,-0.77,0,0,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
647,954351,343,2:52 PM,Aug 30,-0.1,0,0,1.59,FD WRAPS/BAGS/TRSH BG,COOKING BAGS,In-Aisle
696,1003188,31742,11:18 AM,Nov 27,-1.2,0,0,5.16,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,Front End Cap
647,1098066,438,8:20 PM,Nov 27,-0.58,0,0,2,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,Other Location Display
786,995242,339,11:08 AM,Dec 3,-2.22,0,0,3.6,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
699,1077555,408,9:08 AM,Dec 6,-0.89,0,0,1,MILK BY-PRODUCTS,COTTAGE CHEESE,In-Aisle
718,859154,324,10:54 PM,Dec 6,-1.49,0,0,2.5,COLD CEREAL,KIDS CEREAL,Rear End Cap
786,981760,339,9:15 AM,Jul 28,-0.14,0,0,1.25,EGGS,EGGS - X-LARGE,Rear Aisle
661,1138292,427,5:34 PM,May 28,-0.39,0,0,3.54,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,Rear End Cap
718,994928,324,12:43 PM,May 30,-0.09,0,0,0.91,EGGS,EGGS - MEDIUM,In-Aisle
622,1022053,356,7:07 PM,Jul 9,-1.65,0,0,3.33,BAG SNACKS,CORN CHIPS,In-Aisle
788,1053690,313,1:24 PM,Oct 2,-0.71,0,0,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
762,891649,31862,8:18 AM,Nov 9,-0.1,0,0,1.49,FITNESS&DIET,FITNESS&DIET - BARS,Other Location Display
718,890695,324,8:03 PM,Apr 12,-0.19,0,0,2.5,FROZEN PIZZA,SNACKS/APPETIZERS,Other Location Display
786,878715,339,8:07 AM,Jan 25,0,0,0,16.49,BEERS/ALES,BEERALEMALT LIQUORS,Mid-Aisle End Cap
733,939323,298,3:39 PM,Mar 4,-0.98,0,0,4,PLASTIC HOUSEWARES,DISPOSABLE FD STORAGE CONTAINR,Rear End Cap
766,994928,333,12:09 PM,Dec 18,-0.15,0,0,0.59,EGGS,EGGS - MEDIUM,In-Aisle
766,1065593,333,12:22 PM,Feb 11,-0.12,0,0,0.88,BATH TISSUES,TOILET TISSUE,Rear End Cap
706,7139529,343,6:18 PM,Mar 30,-0.78,0,0,6,CONDIMENTS/SAUCES,BBQ SAUCE,Other Location Display
647,1087755,343,3:23 PM,Dec 22,0,-0.75,-0.25,5.54,BATTERIES,ALKALINE BATTERIES,Other Location Display
647,898068,343,1:43 PM,Jan 12,-1.02,0,0,1.67,CONDIMENTS/SAUCES,CATSUP,Rear End Cap
601,829001,329,8:04 PM,May 20,-1.09,0,0,2,COLD CEREAL,KIDS CEREAL,In-Aisle
771,911812,359,12:34 PM,Sep 13,-0.54,0,0,0.75,SOUP,CONDENSED SOUP,In-Shelf
766,964853,333,5:53 PM,May 21,-0.19,0,0,1,SEAFOOD - SHELF STABLE,TUNA,Rear End Cap
788,9527159,360,5:59 PM,May 21,-0.4,0,0,5.99,BAG SNACKS,MULT PK BAG SNACKS,In-Aisle
715,910291,354,11:17 AM,May 24,-0.52,0,0,0.66,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
699,1028166,408,1:53 PM,Jun 7,0,0,0,2.68,CRACKERS/MISC BKD FD,BUTTER SPRAY CRACKER (RITZ/CLU,Rear End Cap
696,953320,31742,6:17 PM,Jun 19,-0.05,0,0,1,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,Rear End Cap
606,17235684,380,6:58 PM,Oct 12,-1.5,0,0,1.49,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,Rear End Cap
788,927191,360,7:27 PM,Oct 16,-0.28,0,0,7,SEAFOOD - SHELF STABLE,TUNA,In-Shelf
788,927191,360,9:26 AM,Oct 19,-0.16,0,0,4,SEAFOOD - SHELF STABLE,TUNA,In-Shelf
715,1123842,415,6:57 PM,Nov 15,-2.58,0,0,5,BACON,PREMIUM,Rear Aisle
786,878715,339,9:09 AM,Nov 16,0,0,0,15.99,BEERS/ALES,BEERALEMALT LIQUORS,Front End Cap
725,998558,400,12:33 PM,Nov 18,-1.04,0,0,2,MEAT - SHELF STABLE,CHILI: CANNED,Rear End Cap
779,9337369,343,12:13 AM,Nov 23,-0.49,0,0,1,CANDY - PACKAGED,CANDY BARS MULTI PACK W/FLOUR,In-Aisle
718,1007549,324,2:50 PM,Apr 28,-0.49,0,0,2.5,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,Other Location Display
718,846959,324,5:49 PM,Mar 12,-0.18,0,0,1.81,COOKIES/CONES,CONES,Front End Cap
607,1084203,372,6:14 PM,Mar 14,-1.17,0,0,3,MEAT - SHELF STABLE,PASTA: CANNED,Rear End Cap
725,828114,400,4:34 PM,May 18,-1.05,0,0,1.04,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,Front End Cap
764,896369,361,12:55 PM,Jun 6,-1.98,0,0,2,PNT BTR/JELLY/JAMS,PEANUT BUTTER,In-Shelf
712,1098066,448,11:52 AM,Jun 17,-0.11,0,0,0.88,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,In-Aisle
788,1108168,360,12:17 PM,Aug 18,0,0,0,2.09,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,Other Location Display
718,826249,324,1:04 PM,Oct 20,-0.1,0,0,1.19,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,Other Location Display
718,1096036,324,9:25 AM,Oct 30,-0.15,0,0,1.67,CHEESE,IWS SINGLE CHEESE,Other Location Display
718,9487885,324,5:36 PM,Aug 29,-0.7,0,0,4.29,FROZEN MEAT,FRZN BURGERS/BBQ/MEATBALL,Rear Aisle
718,13940522,324,6:14 PM,Jan 15,0,0,0,2.99,COLD CEREAL,KIDS CEREAL,Front End Cap
718,13008342,324,6:39 PM,Nov 4,-2.24,0,0,0.75,CHRISTMAS  SEASONAL,DECOR,In-Aisle
797,997856,450,4:51 PM,Nov 6,0,0,0,11.99,DOMESTIC WINE,POPULAR 1.5LT WINES,Other Location Display
797,961803,450,8:42 PM,Feb 21,-1.47,0,0,3,SOFT DRINKS,JUICE (UNDER 10% JUICE),In-Aisle
755,826249,388,1:47 PM,Apr 23,-0.41,0,0,0.88,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,In-Shelf
761,10149640,343,11:39 AM,Oct 2,-3,0,0,5.99,BATH TISSUES,TOILET TISSUE,Rear End Cap
601,1096036,306,3:30 PM,Jun 14,-0.67,0,0,1.19,CHEESE,IWS SINGLE CHEESE,In-Aisle
601,15831363,306,3:30 PM,Jun 14,0,0,0,1,PET CARE SUPPLIES,RAWHIDE CHEWS,Front End Cap
630,1072330,306,5:53 PM,Jun 30,-1.39,0,0,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Side-Aisle End Cap
725,13945141,400,5:39 PM,Jul 3,0,0,0,2,BAG SNACKS,POTATO CHIPS,Side-Aisle End Cap
786,878715,339,4:36 PM,Nov 10,0,0,0,15.99,BEERS/ALES,BEERALEMALT LIQUORS,Front End Cap
715,1123842,415,10:46 AM,Nov 14,-3.87,0,0,7.5,BACON,PREMIUM,Rear Aisle
712,829950,369,2:27 PM,Mar 2,-0.2,0,0,7.79,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,Rear Aisle
706,7166861,343,6:56 PM,Mar 22,-2.59,0,0,3,ICE CREAM/MILK/SHERBTS,PREMIUM,Rear End Cap
706,1105728,343,10:57 PM,Mar 22,-2,0,0,15.99,SINUS AND ALLERGY,SINUS AND ALLERGY,Side-Aisle End Cap
768,857849,323,8:31 PM,May 24,-0.45,0,0,0.44,MARGARINES,MARGARINE  STICK,Other Location Display
786,7025275,339,2:52 PM,Aug 7,-1.11,0,0,1.88,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,Front Aisle
740,970409,404,2:02 PM,Aug 10,-0.2,0,0,1.49,BAKING NEEDS,CORN STARCH,Rear End Cap
725,893501,400,12:37 PM,Sep 18,-2.84,0,0,3.52,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
699,844991,408,1:48 PM,Jun 11,-1.32,0,0,1.67,CHEESE,SHREDDED CHEESE,In-Aisle
762,898510,391,8:38 PM,Jul 8,-0.58,0,0,3.34,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,In-Shelf
762,10254379,391,8:38 PM,Jul 8,-0.17,0,0,1.72,BAKED BREAD/BUNS/ROLLS,PREMIUM BREAD,In-Shelf
647,973086,438,5:42 PM,Oct 14,-1.05,0,0,2.14,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,Front End Cap
699,1124729,408,9:43 AM,Jan 19,-0.26,0,0,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
731,871756,445,4:11 PM,Jan 20,-1.27,0,0,1.88,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,Rear End Cap
762,1022119,31862,4:11 PM,Nov 11,-0.54,0,0,1.25,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,Front End Cap
607,9419525,375,7:17 PM,Nov 21,-4,0,0,1.99,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,Front End Cap
696,1131550,338,3:17 PM,Nov 21,-0.1,0,0,2,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,Rear Aisle
712,901397,448,10:57 AM,Nov 22,0,0,0,5.99,LAUNDRY ADDITIVES,FABRIC SOFTENER LIQUID,Front End Cap
647,8205218,343,1:43 PM,Jan 12,-2.4,0,0,1.98,HOT DOGS,ECONOMY - MEAT,Rear Aisle
768,859075,323,6:30 AM,Jan 13,-0.78,0,0,1,CHEESE,SHREDDED CHEESE,Other Location Display
762,994496,391,9:05 PM,Jan 13,0,0,0,5.18,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,In-Aisle
725,892008,400,2:04 PM,Jun 18,0,0,0,2,MEAT - SHELF STABLE,PASTA: CANNED,Other Location Display
715,1092948,415,4:10 PM,Aug 9,-0.77,0,0,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
768,5591170,323,9:39 AM,Oct 16,-1,0,0,2.99,CHEESE,SHREDDED CHEESE,In-Aisle
771,953476,424,10:38 AM,May 1,-0.78,0,0,1,PAPER TOWELS,PAPER TOWELS & HOLDERS,In-Aisle
696,1101980,31742,2:49 PM,May 9,-0.72,0,0,1.67,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,Front End Cap
631,5590287,389,12:30 PM,May 2,0,0,0,0.44,YOGURT,YOGURT NOT MULTI-PACKS,In-Aisle
725,893501,400,12:10 PM,Sep 17,-2.13,0,0,2.64,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,In-Aisle
718,1094619,324,4:36 PM,Aug 17,-0.1,0,0,1.49,VEGETABLES - SHELF STABLE,POTATOES SWEET,In-Shelf
788,951190,360,4:41 PM,Jun 16,-0.49,0,0,1.5,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,Rear End Cap
680,1042438,424,4:13 PM,Jun 16,0,0,0,2.68,COOKIES/CONES,SANDWICH COOKIES,Other Location Display
718,859075,324,1:04 PM,Oct 20,-0.15,0,0,1.74,CHEESE,SHREDDED CHEESE,In-Aisle
768,834117,323,4:53 PM,Nov 5,-0.3,0,0,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,Front Aisle
647,5591170,343,9:14 PM,Nov 24,-1.49,0,0,2.5,CHEESE,SHREDDED CHEESE,In-Aisle
755,1092898,388,1:47 PM,Apr 23,0,0,0,2.99,CONDIMENTS/SAUCES,BBQ SAUCE,In-Shelf
768,853904,323,5:03 PM,Apr 27,-0.21,0,0,0.3,SOUP,RAMEN NOODLES/RAMEN CUPS,Rear End Cap
733,870547,356,11:00 AM,Sep 2,0,0,0,2.09,MARGARINES,MARGARINE: TUBS AND BOWLS,In-Aisle
622,1013167,356,5:39 PM,Nov 2,-1.98,0,0,6,LUNCHMEAT,POULTRY,Rear Aisle
725,892008,400,5:00 PM,Nov 5,0,0,0,4,MEAT - SHELF STABLE,PASTA: CANNED,Rear End Cap
788,5569230,360,9:54 AM,Mar 5,-2.09,0,0,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Aisle
718,913785,324,4:41 PM,Apr 17,-1.11,0,0,0.88,CONDIMENTS/SAUCES,CATSUP,Other Location Display
761,12262955,343,8:14 PM,Oct 29,0,0,0,0.99,BAKING MIXES,LAYER CAKE MIX,Rear Aisle
725,987562,400,1:21 PM,Sep 25,-0.39,0,0,1.5,CHEESE,SHREDDED CHEESE,Other Location Display
647,1138467,343,5:32 PM,Sep 4,-0.3,0,0,2.29,MILK BY-PRODUCTS,AEROSOL TOPPINGS,In-Aisle
768,899618,323,6:23 AM,Dec 2,-2.98,0,0,2,WATER,SPRING WATER,Other Location Display
779,9527290,343,4:27 PM,Mar 8,-0.33,0,0,1.67,BAG SNACKS,POTATO CHIPS,Side-Aisle End Cap
718,863762,324,6:24 PM,Dec 4,0,0,0,20,PREPAID WIRELESS&ACCESSORIES,PREPAID WIRELESS CARDS,Other Location Display
740,13133879,370,1:37 PM,Feb 3,0,0,0,3.99,GLASSWARE & DINNERWARE,SEASONAL,Rear End Cap
696,1003188,31742,9:55 PM,Feb 4,-2.56,0,0,5,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,Other Location Display
696,13115950,358,12:19 PM,Mar 28,-0.49,0,0,2.5,BAG SNACKS,POTATO CHIPS,Other Location Display
768,845705,323,6:25 AM,Feb 4,-0.99,0,0,1,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,In-Aisle
647,1098066,438,6:20 PM,Feb 7,-1.23,0,0,2.64,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,In-Aisle
696,1003188,31742,10:58 AM,Feb 8,-1.92,0,0,3.75,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,Other Location Display
706,1021116,421,8:01 PM,Mar 31,-0.2,0,0,2,FROZEN PIZZA,PIZZA/TRADITIONAL,Front End Cap
661,1124729,427,5:59 PM,Dec 31,-0.26,0,0,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,Front Aisle
712,9526410,448,12:32 PM,Feb 18,0,0,0,2,BAG SNACKS,POTATO CHIPS,Other Location Display
725,826249,400,5:16 PM,Apr 11,-0.41,0,0,0.88,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,Side-Aisle End Cap
740,13190501,370,5:09 PM,Jan 3,-0.29,0,0,1,HAIR CARE PRODUCTS,PARTY SEASONAL,In-Aisle
696,7168387,31742,3:38 PM,Jun 26,0,0,0,7.99,ELECTRICAL SUPPPLIES,DECOR BULBS,Other Location Display
680,6533608,424,3:43 PM,Sep 6,-1.32,0,0,2.67,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,Side-Aisle End Cap
764,960692,33923,3:55 PM,Aug 13,-2.68,0,0,2.5,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,Front End Cap
696,5569845,448,4:34 PM,Oct 5,-2.02,0,0,2.67,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Aisle
706,5569327,343,7:48 PM,Oct 27,-0.87,0,0,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,Front End Cap
764,913490,33923,9:00 PM,Nov 1,0,0,0,1,FROZEN PIZZA,PIZZA/ECONOMY,Other Location Display
761,897125,343,3:57 PM,May 26,-0.89,0,0,2,CHEESE,GRATED CHEESE,Other Location Display
699,1032924,408,8:34 AM,Sep 30,-0.99,0,0,2,BAG SNACKS,POTATO CHIPS,In-Aisle
788,6534480,360,9:54 AM,Mar 5,-1.49,0,0,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Aisle
788,1069621,313,11:10 AM,Apr 14,0,0,0,1.71,SHORTENING/OIL,CANOLA OILS,Other Location Display
788,5568378,313,11:13 AM,Apr 14,-1.62,0,0,1.67,BAG SNACKS,TORTILLA/NACHO CHIPS,Front Aisle
718,919157,324,3:38 PM,Oct 4,-0.18,0,0,1.61,STATIONERY & SCHOOL SUPPLIES,TAPE & MAILING PRODUCTS,Rear End Cap
706,977658,384,7:05 PM,May 25,-3.99,0,0,0,HOT DOGS,PREMIUM - BEEF,Rear Aisle
788,9836195,313,1:00 PM,Aug 22,0,0,0,2.99,LUNCHMEAT,HAM,Rear Aisle
696,9337684,31742,1:32 PM,Jun 30,-0.39,0,0,1,CANDY - PACKAGED,CANDY BARS (MULTI PACK),In-Aisle
740,966479,404,8:59 AM,Aug 26,0,0,0,3.99,BUTTER,BUTTER,Side-Aisle End Cap
755,834631,388,5:42 PM,Oct 15,-0.4,0,0,1.29,MISCELLANEOUS,SAUERKRAUT,Rear Aisle
768,1029743,323,6:20 AM,Oct 28,0,0,0,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
740,1131438,404,11:06 AM,Jul 18,0,0,0,3.99,DINNER SAUSAGE,RED,Rear Aisle
779,930666,343,7:23 AM,Mar 2,-1.49,0,0,2.5,BACON,ECONOMY,In-Aisle
768,9526681,323,6:16 AM,Dec 5,-0.59,0,0,1,BAG SNACKS,SGL SV/VEND MACH SNACKS CHIP/P,In-Aisle
696,849202,31742,9:55 PM,Feb 4,0,0,0,9.29,BEERS/ALES,BEERALEMALT LIQUORS,Other Location Display
786,972665,339,9:44 AM,Dec 8,0,0,0,3.59,BREAKFAST SAUSAGE/SANDWICHES,OTHER,Other Location Display
607,981760,391,11:15 AM,Mar 15,-0.31,0,0,0.88,EGGS,EGGS - X-LARGE,In-Aisle
712,940108,448,2:09 PM,Dec 28,-1.77,0,0,1.8,VEGETABLES - SHELF STABLE,PEAS GREEN,In-Shelf
788,14077333,360,11:16 AM,Apr 15,-1.65,0,0,1.5,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,Rear End Cap
601,862152,421,4:14 PM,Jul 11,-2.98,0,0,3,POPCORN,POPCORN - MICROWAVE,Side-Aisle End Cap
764,1029743,33923,3:34 PM,Jul 30,0,0,0,2.79,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Front End Cap
631,5585635,389,1:46 PM,Aug 11,0,0,0,0.4,YOGURT,YOGURT NOT MULTI-PACKS,In-Aisle
696,1126899,31742,11:02 AM,Jun 28,0,0,0,5.38,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,In-Aisle
696,5567785,31742,11:02 AM,Jun 28,-3,0,0,7.98,COOKIES/CONES,MULTI-PACK COOKIES,In-Aisle
788,882830,360,2:45 PM,Aug 14,-0.29,0,0,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,Side-Aisle End Cap
696,982958,31742,3:31 PM,Oct 20,-0.6,0,0,1.89,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,In-Aisle
680,6034857,424,4:22 PM,Dec 1,-0.5,0,0,2,TOMATOES,TOMATOES GRAPE,Front Aisle
712,1056509,448,10:55 AM,Mar 31,-0.31,0,0,1.88,MILK BY-PRODUCTS,COTTAGE CHEESE,Rear Aisle
718,890695,324,7:54 AM,Aug 6,-0.81,0,0,1.88,FROZEN PIZZA,SNACKS/APPETIZERS,Other Location Display
725,859075,400,4:08 PM,Aug 8,-0.64,0,0,1.25,CHEESE,SHREDDED CHEESE,In-Aisle
718,883404,324,4:30 PM,Aug 11,-0.08,0,0,1.21,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,In-Aisle
647,1080014,343,10:28 PM,Sep 28,-2.47,0,0,5.02,SPICES & EXTRACTS,PURE EXTRACTS,In-Aisle
762,859334,31862,3:46 PM,Oct 2,-0.16,0,0,1.4,COCOA MIXES,HOT CHOCOLATE COCOA MIX,Front End Cap
762,953386,31862,3:46 PM,Oct 2,-0.12,0,0,1.05,COCOA MIXES,HOT CHOCOLATE COCOA MIX,Front End Cap
631,1038217,389,4:23 PM,Oct 16,-0.39,0,0,1,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),Rear End Cap
712,825665,31742,5:19 PM,Jul 24,0,0,0,3.39,COOKIES/CONES,GRAHAM CRACKERS,In-Aisle
718,1097001,324,5:06 PM,Nov 20,-0.65,0,0,3.34,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,Rear End Cap
605,982469,369,2:28 PM,Feb 11,-2.3,0,0,10.69,INFANT FORMULA,INFANT FORMULA SPECIALTY,Other Location Display
647,7166863,343,4:20 PM,Jul 5,-2.59,0,0,3,ICE CREAM/MILK/SHERBTS,PREMIUM,Rear End Cap
630,1035836,306,4:26 PM,May 3,-0.79,0,0,1,DRY MIX DESSERTS,PUDDING&GELATIN CUPS/CANS,Front End Cap
788,15596488,360,3:36 PM,May 20,-9.2,0,0,5.96,COLD CEREAL,ALL FAMILY CEREAL,Front End Cap
631,995896,389,2:15 PM,Jul 22,-1.99,0,0,2.5,BACON,PREMIUM,Rear Aisle
766,923746,333,2:24 PM,Jul 23,-0.26,0,0,1.29,EGGS,EGGS - LARGE,In-Aisle
788,15596488,360,6:12 PM,May 23,-4.6,0,0,2.98,COLD CEREAL,ALL FAMILY CEREAL,Front End Cap
631,995896,389,6:04 PM,Jul 26,-3.98,0,0,5,BACON,PREMIUM,Rear Aisle
696,12604679,31742,9:13 AM,May 30,-0.74,0,0,1.25,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,Front End Cap
