householdid,productid,cartid,storeid,transactiontime,daydate,salesvalue,productdesc,productsubdesc,qty,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
696,859075,32305197913,31742,8:35 PM,Dec 30,4.5,CHEESE,SHREDDED CHEESE,3,Side-Aisle End Cap,-0.84,0,0
680,13213029,32305547920,424,5:23 PM,Dec 30,2,ICE CREAM/MILK/SHERBTS,PREMIUM PINTS,2,Front End Cap,-1.18,0,0
786,972665,40703240295,339,9:19 AM,Aug 24,3.79,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,Other Location Display,0,0,0
740,942525,40342041234,404,1:49 PM,Jul 27,1.88,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,1,Front End Cap,-1.51,0,0
614,883932,40073111630,288,5:42 PM,Jul 4,2,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Mid-Aisle End Cap,-0.59,0,0
788,13115525,41758255720,360,1:21 PM,Nov 2,2.5,BAG SNACKS,POTATO CHIPS,1,Side-Aisle End Cap,-0.49,0,0
779,832678,41782909643,343,7:12 PM,Nov 5,2.23,CRACKERS/MISC BKD FD,BUTTER SPRAY CRACKER (RITZ/CLU,1,In-Aisle,0,0,0
788,6464074,27733116639,360,7:52 PM,Mar 5,3.99,FROZEN PIZZA,PIZZA/PREMIUM,1,Rear End Cap,-2.7,0,0
712,995896,28853590890,448,1:20 PM,May 27,15,BACON,PREMIUM,6,Rear Aisle,-11.94,0,0
607,1043128,30129828776,372,6:17 PM,Aug 8,12,FRUIT - SHELF STABLE,PINEAPPLE,12,In-Shelf,-5.88,0,0
712,1007512,31172585696,31742,12:54 PM,Oct 10,2.99,HEAT/SERVE,ENTREES,1,Other Location Display,0,0,0
631,1050229,30907181131,389,11:34 AM,Sep 19,0.6,SOUP,CONDENSED SOUP,1,Rear End Cap,-0.06,0,0
771,911609,29183215323,424,9:21 AM,Jun 16,4.39,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,1,Front End Cap,-0.07,0,0
722,889223,29183220966,359,12:40 PM,Jun 16,2.5,CANNED JUICES,BLENDED JUICE&COMBINATIONS (OV,1,Rear End Cap,-1.49,0,0
605,859224,30971992545,369,1:11 PM,Sep 24,1.29,BAKING NEEDS,CAKE DECORS & ICING,1,Rear End Cap,-0.1,0,0
718,883299,30972071095,324,1:45 PM,Sep 24,1.64,BAKING NEEDS,BREADINGS  COATINGS CRUMBS,1,Rear End Cap,-0.15,0,0
647,824272,31198427156,343,6:31 PM,Oct 12,6.99,MISC WINE,SPARKLING WINES,1,Side-Aisle End Cap,0,0,0
605,994928,33293762311,369,1:29 PM,Mar 4,0.34,EGGS,EGGS - MEDIUM,1,Rear Aisle,-0.44,0,0
718,1002763,32760315615,324,10:51 AM,Jan 25,0.88,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,1,In-Aisle,-0.11,0,0
762,920002,32794683081,391,8:49 PM,Jan 27,2.5,SOFT DRINKS,SOFT DRINKS 6PK/4PK CAN CARB (,1,Rear Aisle,0,0,0
614,1045220,31944775398,288,12:01 PM,Dec 1,2,MEAT - SHELF STABLE,PASTA: CANNED,2,Front Aisle,0,0,0
718,965378,31969620319,324,10:34 AM,Dec 3,2.07,COOKIES/CONES,CONES,1,Other Location Display,-0.22,0,0
766,936594,33433194742,333,10:55 PM,Mar 15,1.19,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,1,Front End Cap,0,0,0
712,5569374,32259756171,448,2:09 PM,Dec 28,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Other Location Display,-2.19,0,0
718,1092026,33660261948,324,6:24 PM,Mar 31,1,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,Rear Aisle,-0.59,0,0
786,12263932,32557300256,339,9:24 AM,Jan 12,2.5,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,Mid-Aisle End Cap,-0.49,0,0
630,13189981,33180406477,306,4:17 PM,Feb 25,4.5,FROZEN PIZZA,PIZZA/PREMIUM,1,Front End Cap,-0.98,0,0
762,849003,34044930720,31862,12:50 PM,Apr 21,2,COLD CEREAL,ADULT CEREAL,1,Rear End Cap,-0.62,0,0
614,1043730,34321941627,288,6:39 PM,May 8,4.5,FROZEN PIZZA,PIZZA/PREMIUM,1,Mid-Aisle End Cap,-0.98,0,0
601,12330794,34762303925,329,8:04 PM,May 20,1.5,BAKED BREAD/BUNS/ROLLS,DIET/LIGHT BREAD,1,In-Aisle,-1.19,0,0
762,913598,40314437242,31862,7:18 PM,Jul 23,0.5,CANDY - PACKAGED,CHEWING GUM,1,In-Aisle,-0.49,0,0
699,1058068,34850237447,408,7:27 PM,May 23,2,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,Front End Cap,-1.99,0,0
712,9526410,34851005558,448,11:23 AM,May 24,2,BAG SNACKS,POTATO CHIPS,1,Other Location Display,0,0,0
771,898510,40447845921,359,1:13 PM,Aug 1,1.25,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1,Rear End Cap,-0.58,0,0
768,1056005,42153045750,323,11:09 AM,Dec 2,5.99,COFFEE,GROUND COFFEE,1,In-Shelf,-1.29,0,0
631,972487,28023852566,389,4:54 PM,Mar 29,2.99,GREETING CARDS/WRAP/PARTY SPLY,CARDS SEASONAL,1,In-Aisle,0,0,0
718,10254377,31269222388,324,6:01 PM,Oct 17,0.54,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,Front Aisle,-0.05,0,0
764,967751,28675426972,346,7:54 PM,May 14,2,MEAT - MISC,SANDWICHES&HANDHELDS,2,Rear Aisle,-5.18,0,0
718,833014,30054827652,324,5:00 PM,Aug 3,2.79,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,1,Rear Aisle,-0.2,0,0
712,820347,30822881225,448,1:08 PM,Sep 14,2,HOT CEREAL,INSTANT OATMEAL,1,Rear End Cap,-1.89,0,0
722,1098066,28790494678,359,4:07 PM,May 25,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,Other Location Display,0,0,0
740,5577007,29602511099,404,2:03 PM,Jul 11,7.99,BEERS/ALES,BEERALEMALT LIQUORS,1,Side-Aisle End Cap,0,0,0
692,826816,29602521660,335,3:57 PM,Jul 11,1,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,1,Front End Cap,-1.39,0,0
768,974988,30743223455,323,6:59 PM,Sep 7,2,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,1,Front End Cap,-2.99,0,0
718,965378,30033390448,324,10:51 AM,Jul 23,1.97,COOKIES/CONES,CONES,1,Other Location Display,-0.22,0,0
699,862139,33432920437,408,10:29 AM,Mar 15,3.3,SEAFOOD - SHELF STABLE,TUNA,5,Rear End Cap,0,0,0
699,942817,33432920437,408,10:29 AM,Mar 15,1.25,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,1,In-Aisle,-0.53,0,0
647,1046465,40765964036,343,2:52 PM,Aug 30,0.79,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,1,Front End Cap,-0.4,0,0
761,1075214,40510075965,343,9:27 PM,Aug 8,5.5,BATH TISSUES,TOILET TISSUE,1,Front End Cap,-3.49,0,0
699,891028,42038946327,408,12:36 PM,Nov 24,1.09,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,1,Rear Aisle,-0.1,0,0
768,952943,30627025049,323,6:19 AM,Aug 29,1.34,HAIR CARE PRODUCTS,SHAMPOO,1,Rear End Cap,-0.65,0,0
786,999270,31046490839,339,1:10 PM,Sep 30,2.5,BACON,ECONOMY,1,Rear Aisle,-1.49,0,0
786,1092835,32672220194,339,8:53 AM,Jan 19,2,COOKIES/CONES,VANILLA WAFER/KIDS COOKIES,1,Mid-Aisle End Cap,-1.59,0,0
761,1042907,32956897136,343,1:37 PM,Feb 7,3.79,BACON,PREMIUM,2,Rear Aisle,-3.79,0,0
718,873324,32957471270,324,2:04 PM,Feb 8,9.99,FROZEN MEAT,BREADED - CHICKEN,1,Rear End Cap,0,0,0
712,1070820,32445001409,369,11:11 AM,Jan 3,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Other Location Display,0,0,0
764,965766,34072812196,33923,9:35 PM,Apr 23,2.19,CHEESE,IWS SINGLE CHEESE,1,In-Aisle,0,0,0
797,9857388,40126857223,450,6:41 PM,Jul 8,7.99,ORAL HYGIENE PRODUCTS,MOUTHWASH RINSES AND SPRAYS,1,Side-Aisle End Cap,0,0,0
696,1121384,41026131043,31742,2:56 PM,Sep 16,1.88,COLD CEREAL,ALL FAMILY CEREAL,1,Front End Cap,-1.31,0,0
768,6551990,40341866955,323,3:22 PM,Jul 27,0.99,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,1,Rear End Cap,-0.2,0,0
766,1105917,41366635999,333,8:00 PM,Oct 4,1.88,BUTTER,BUTTER,1,In-Aisle,-1.71,0,0
696,834491,35143850222,31742,9:13 AM,May 30,2.59,CONVENIENT BRKFST/WHLSM SNACKS,TREATS,1,Front End Cap,0,0,0
696,15511584,35143850222,31742,9:13 AM,May 30,2.39,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,In-Aisle,0,0,0
725,1105623,40496766211,400,2:25 PM,Aug 7,1,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,1,Front End Cap,-0.59,0,0
787,867668,41125432321,443,5:58 PM,Sep 21,1,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Rear End Cap,-1.29,0,0
766,13213567,41891586481,333,2:14 PM,Nov 13,4.59,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,2,Front End Cap,-4.59,0,0
715,15716680,41891735483,415,9:36 AM,Nov 13,2,SPICES & EXTRACTS,SPICES & SEASONINGS,2,In-Shelf,0,0,0
718,923746,28081501506,324,3:38 PM,Apr 3,1.49,EGGS,EGGS - LARGE,1,In-Aisle,-0.1,0,0
768,12263184,29787588504,323,5:37 PM,Jul 19,1.58,BAKING MIXES,LAYER CAKE MIX,2,Rear End Cap,-0.3,0,0
699,843306,32614170267,408,10:08 AM,Jan 15,2,FRUIT - SHELF STABLE,PINEAPPLE,2,Other Location Display,-0.98,0,0
768,918098,32895230056,323,6:25 AM,Feb 4,3.29,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,2,Rear Aisle,-3.29,0,0
768,1091976,33363147559,306,8:47 PM,Mar 10,0.69,CONDIMENTS/SAUCES,SALAD MUSTARD,1,In-Shelf,-0.1,0,0
731,5569845,33894357013,329,2:43 PM,Apr 9,5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,In-Aisle,-4.38,0,0
731,13986236,33894357013,329,2:43 PM,Apr 9,0.99,CANDY - CHECKLANE,CHEWING GUM,1,Rear End Cap,0,-0.99,0
630,1091976,33444636377,306,2:25 PM,Mar 16,0.69,CONDIMENTS/SAUCES,SALAD MUSTARD,1,In-Shelf,-0.1,0,0
725,892008,32408740802,400,12:28 PM,Jan 1,2,MEAT - SHELF STABLE,PASTA: CANNED,2,Rear End Cap,0,0,0
762,5568378,32444556728,31862,5:20 PM,Jan 3,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,1,Other Location Display,0,0,0
725,910032,40248476929,400,4:07 PM,Jul 18,3.29,HOT DOGS,PREMIUM - MEAT,2,Rear Aisle,-3.29,0,0
771,959985,40472682624,359,10:23 PM,Aug 5,1.25,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,1,In-Aisle,-0.53,0,0
771,959985,40496722470,359,9:00 PM,Aug 7,1.25,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,1,In-Aisle,-0.53,0,0
722,933303,40013932355,359,6:08 PM,Jun 29,2.5,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,2,Rear End Cap,-0.8,0,0
630,7441391,40025857095,306,5:53 PM,Jun 30,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,4,Side-Aisle End Cap,-1.37,0,0
768,1119667,41782610598,339,12:19 PM,Nov 5,3.99,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,1,Rear End Cap,-3,0,0
696,952317,41795220501,31742,11:57 AM,Nov 6,1,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,1,Rear End Cap,-0.12,0,0
788,1108168,28110919310,360,9:46 PM,Apr 6,2,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Other Location Display,0,0,0
606,9526757,27720848127,446,11:43 PM,Mar 4,1.88,BAG SNACKS,POTATO CHIPS,1,Rear End Cap,-1.11,0,0
788,868401,28512321527,360,6:35 PM,May 2,0.69,MEAT - SHELF STABLE,HOT DOG CHILI SAUCE,1,Rear Aisle,0,0,0
631,1029743,28512471044,389,12:30 PM,May 2,1.67,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,In-Shelf,-0.82,0,0
692,887897,27937021188,335,1:29 PM,Mar 22,2,FRZN NOVELTIES/WTR ICE,WATER ICE,1,Rear End Cap,-0.79,0,0
718,913278,27950986830,324,4:03 PM,Mar 24,2.79,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,1,Other Location Display,-0.2,0,0
631,987562,28744882961,389,4:48 PM,May 18,3,CHEESE,SHREDDED CHEESE,2,In-Shelf,-2.38,0,0
630,1071939,31134966629,306,3:22 PM,Oct 7,2,CHEESE,CREAM CHEESE,2,In-Aisle,-0.38,0,0
766,1050741,30174299335,333,7:46 PM,Aug 10,4.99,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,Front Aisle,-3,0,0
788,825703,30229220231,360,9:49 AM,Aug 16,2.5,COLD CEREAL,ADULT CEREAL,1,Rear End Cap,-0.44,0,0
607,1132770,29194674813,372,6:43 PM,Jun 17,0.59,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,Front Aisle,0,0,0
761,933303,31468120261,343,8:14 PM,Oct 29,1,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,Rear Aisle,-0.99,0,0
647,1100972,31198427156,343,6:31 PM,Oct 12,1.88,CRACKERS/MISC BKD FD,BUTTER SPRAY CRACKER (RITZ/CLU,1,In-Aisle,-1.51,0,0
680,948953,33506783005,424,5:26 PM,Mar 22,4.5,BATTERIES,ALKALINE BATTERIES,1,Front Aisle,-1.29,0,0
786,981760,33444430186,339,8:31 AM,Mar 16,0.88,EGGS,EGGS - X-LARGE,1,Rear Aisle,-0.31,0,0
766,848846,33770007243,333,3:31 PM,Apr 4,1,SOAP - LIQUID & BAR,LIQUID SOAP,1,Front Aisle,-0.99,0,0
680,982960,32557390918,424,12:28 PM,Jan 12,0.67,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,1,In-Shelf,-0.52,0,0
605,988208,32557461641,369,12:23 PM,Jan 12,1.25,FRUIT - SHELF STABLE,FRUIT BOWL AND CUPS,1,Other Location Display,-0.09,0,0
766,992986,40314816558,333,2:24 PM,Jul 23,1.5,CHEESE,SHREDDED CHEESE,1,In-Aisle,-1.29,0,0
631,985160,34812275670,389,11:36 AM,May 21,3.99,HEAT/SERVE,ENTREES,1,Rear Aisle,-2,0,0
706,883404,40424216851,343,7:47 PM,Aug 2,1,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle,-0.29,0,0
725,1130458,40565656840,400,4:34 PM,Aug 13,2,COLD CEREAL,KIDS CEREAL,1,Rear End Cap,-1.99,0,0
718,10344585,28179970645,324,11:46 AM,Apr 11,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,In-Aisle,-2.19,-2.5,0
607,859026,27798189091,372,5:50 PM,Mar 11,1,MEAT - SHELF STABLE,PASTA: CANNED,1,Other Location Display,-0.39,0,0
607,1045220,27798189091,372,5:50 PM,Mar 11,1,MEAT - SHELF STABLE,PASTA: CANNED,1,Other Location Display,-0.39,0,0
631,852486,27817336220,389,1:05 PM,Mar 12,0.99,BROCCOLI/CAULIFLOWER,BROCCOLI WHOLE&CROWNS,1,In-Shelf,-0.9,0,0
607,1045220,27852989918,372,10:37 PM,Mar 15,2,MEAT - SHELF STABLE,PASTA: CANNED,2,Other Location Display,-0.78,0,0
786,5569230,30036100246,339,9:15 AM,Jul 28,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,In-Aisle,-2.19,0,0
647,8180870,31145624263,343,5:41 PM,Oct 8,2,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1,Rear End Cap,-1.15,0,0
715,1033615,29276595688,354,12:53 PM,Jun 22,0.99,REFRGRATD JUICES/DRNKS,DAIRY CASE FRUIT DRINKS (NO JU,1,Rear End Cap,0,0,0
622,883404,29577902572,356,7:07 PM,Jul 9,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,Other Location Display,-0.41,0,0
622,5573124,29577902572,356,7:07 PM,Jul 9,12.99,BEERS/ALES,BEERALEMALT LIQUORS,1,Side-Aisle End Cap,0,0,0
718,867188,30662756515,324,2:08 PM,Sep 1,1,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,1,Other Location Display,-0.59,0,0
631,1117249,30032801620,389,2:34 PM,Jul 22,4.99,SEAFOOD - FROZEN,SEAFOOD-FRZ-BRD SHRIMP,1,Rear Aisle,-1,0,0
718,883404,32823971732,324,5:26 PM,Jan 29,1.2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,Other Location Display,-0.09,0,0
718,890695,32823971732,324,5:26 PM,Jan 29,7.5,FROZEN PIZZA,SNACKS/APPETIZERS,3,Rear End Cap,-1.17,0,0
606,849843,31944546928,446,5:17 PM,Dec 1,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,In-Aisle,-0.3,0,0
733,1128647,33433177227,356,3:47 PM,Mar 15,1.76,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,2,Rear End Cap,-0.24,0,0
722,883039,33768841721,359,5:42 PM,Apr 2,0.88,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,In-Shelf,-0.51,0,0
761,845196,40249211475,343,11:37 AM,Jul 19,3.58,BLEACH,LIQUID BLEACH,2,Front End Cap,-0.4,0,0
768,874061,40533017015,323,2:09 PM,Aug 10,1,REFRGRATD DOUGH PRODUCTS,REFRIGERATED BISCUITS REGULAR,1,In-Aisle,-0.32,0,0
718,857849,41945036733,324,5:39 PM,Nov 17,1.12,MARGARINES,MARGARINE  STICK,2,Side-Aisle End Cap,0,0,0
788,5569327,42030967197,360,8:35 PM,Nov 23,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,1,Other Location Display,-0.87,0,0
725,868764,31468556432,400,3:07 PM,Oct 30,3,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,3,In-Aisle,-1.77,0,0
630,9553065,29485001303,306,2:01 PM,Jul 5,2.5,BAG SNACKS,POTATO CHIPS,1,Other Location Display,-0.49,0,0
647,993685,29485089571,343,5:49 PM,Jul 5,3,DINNER MXS:DRY,SKILLET DINNERS,3,In-Shelf,-4.77,0,0
696,1098066,29507001971,31742,3:33 PM,Jul 6,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,Side-Aisle End Cap,-0.3,0,0
768,862732,30686460079,323,6:13 AM,Sep 3,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,Rear Aisle,-0.71,0,0
768,1056005,33956947959,323,5:35 PM,Apr 14,4.99,COFFEE,GROUND COFFEE,1,Rear End Cap,-2,0,0
614,995896,33658266672,288,6:36 PM,Mar 28,2.5,BACON,PREMIUM,1,Rear Aisle,-1.99,0,0
731,13986397,33894357013,329,2:43 PM,Apr 9,0.99,CANDY - CHECKLANE,CHEWING GUM,1,Rear End Cap,0,0,0
712,1086061,33094870647,448,12:32 PM,Feb 18,4.99,COFFEE,GROUND COFFEE,1,Rear End Cap,-2.47,0,0
630,7441391,34575021581,323,2:06 PM,May 12,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,4,Front Aisle,-1.38,0,0
706,1080414,34873497493,343,1:58 PM,May 25,1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,3,Rear End Cap,-0.77,0,0
718,872137,40751972106,324,6:05 PM,Aug 28,3.65,BUTTER,BUTTER,1,Front Aisle,0,0,0
706,904129,35080669250,343,6:22 PM,May 27,6.99,MEAT - MISC,GRND/PATTY - FROZEN,1,Other Location Display,-2,0,0
706,5569230,35665864773,343,5:51 PM,Jun 13,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Rear End Cap,-2.19,0,0
764,1029743,40826258644,33923,9:39 PM,Sep 3,2.79,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Front End Cap,0,0,0
761,5569230,35688917839,343,2:17 PM,Jun 15,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Rear End Cap,-2.19,0,0
786,7410015,40877060212,339,8:53 AM,Sep 7,1,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES- VALUE A,1,Mid-Aisle End Cap,-0.49,0,0
712,1067795,40025635522,448,11:29 AM,Jun 30,2.69,CRACKERS/MISC BKD FD,SNACK CRACKERS,1,In-Aisle,-0.8,0,0
725,819255,40062112341,400,5:39 PM,Jul 3,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,In-Aisle,-0.99,0,0
647,828143,40596203244,343,2:05 PM,Aug 16,1.99,CHEESE,MISCELLANEOUS CHEESE,1,In-Aisle,0,0,0
788,981760,28536916411,360,5:35 PM,May 3,0.79,EGGS,EGGS - X-LARGE,1,Rear Aisle,-0.6,0,0
768,937626,28732998982,323,7:41 PM,May 17,1.54,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,2,In-Aisle,-1.64,0,0
607,12263788,28867840398,432,10:30 AM,May 28,3.18,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,In-Aisle,-0.8,0,0
786,1051989,28941085526,339,10:43 AM,Jun 1,2.5,DINNER SAUSAGE,SMOKED/COOKED,1,Rear Aisle,-0.49,0,0
630,1014860,30857385411,306,10:52 AM,Sep 16,3.52,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,4,In-Aisle,-2.04,0,0
768,871756,30579760092,323,6:37 AM,Aug 26,1.67,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1,Front End Cap,-1.6,0,0
712,923746,29392005371,448,10:39 AM,Jul 1,2,EGGS,EGGS - LARGE,2,In-Aisle,-1.18,0,0
631,883404,33770166870,389,2:22 PM,Apr 4,1,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle,-0.29,0,0
725,987562,32630351397,400,2:27 PM,Jan 16,2,CHEESE,SHREDDED CHEESE,2,Rear Aisle,-1.56,0,0
630,1042907,31944856056,306,1:52 PM,Dec 1,5,BACON,PREMIUM,2,Rear Aisle,-2.58,0,0
718,883404,32872755779,324,12:49 PM,Feb 2,1.2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,Other Location Display,-0.09,0,0
605,1126899,32204706455,369,11:41 AM,Dec 23,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Other Location Display,0,0,0
601,883404,32259391225,306,2:41 PM,Dec 27,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,Mid-Aisle End Cap,-0.3,0,0
718,13513218,32556997473,324,6:15 PM,Jan 11,1,DRY NOODLES/PASTA,SPAGHETTI DRY,1,Front End Cap,-0.99,0,0
647,951590,40085774097,343,4:20 PM,Jul 5,1.59,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle,-0.7,0,0
696,973693,40186373143,31742,8:55 PM,Jul 13,1,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,1,In-Aisle,-0.29,0,0
779,1130858,34762567996,343,3:40 PM,May 20,2,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,In-Aisle,-1.69,0,0
779,5569230,35598484936,343,8:17 PM,Jun 11,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Rear End Cap,-2.19,0,0
725,13212996,40565656840,400,4:34 PM,Aug 13,2,ICE CREAM/MILK/SHERBTS,PREMIUM PINTS,2,Front End Cap,-1.38,0,0
741,904997,42097476031,315,2:13 PM,Nov 29,6.99,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,1,Other Location Display,-2,0,0
715,9672070,42097813452,389,8:16 PM,Nov 29,5.69,BREAKFAST SAUSAGE/SANDWICHES,FRZN BREAKFAST ENTREES/SANDWIC,1,Rear End Cap,-0.3,0,0
786,1065538,28270962132,339,7:06 PM,Apr 18,14.99,BEERS/ALES,BEERALEMALT LIQUORS,1,In-Aisle,0,0,0
607,1062663,27829062035,450,4:41 PM,Mar 13,2,BREAKFAST SAUSAGE/SANDWICHES,LINKS - COOKED,2,Rear Aisle,-0.5,0,0
601,987563,27853362380,306,5:18 PM,Mar 15,5.99,WAREHOUSE SNACKS,MEAT SNACKS,1,Side-Aisle End Cap,0,0,0
699,8091654,28270782298,408,7:35 PM,Apr 18,4,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - FLAVORED/OTHER,2,Rear Aisle,-2.98,0,0
680,1022003,30823033239,424,4:47 PM,Sep 14,3,SOUP,CONDENSED SOUP,5,Front End Cap,-0.3,0,0
725,5568721,31281120212,400,8:27 AM,Oct 18,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,1,Front End Cap,-0.87,0,0
779,998119,30190585271,343,6:46 PM,Aug 13,2.5,BAG SNACKS,TORTILLA/NACHO CHIPS,1,In-Aisle,-0.99,0,0
762,882546,31070401700,31862,3:46 PM,Oct 2,1.4,COCOA MIXES,HOT CHOCOLATE COCOA MIX,4,Front End Cap,-0.16,0,0
788,5568995,30033276120,313,12:46 PM,Jul 22,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Front Aisle,-2.19,0,0
740,940108,32744562185,370,3:25 PM,Jan 23,0.44,VEGETABLES - SHELF STABLE,PEAS GREEN,1,Other Location Display,-0.75,0,0
712,1056509,33655775207,448,9:33 AM,Mar 24,1.99,MILK BY-PRODUCTS,COTTAGE CHEESE,1,Rear Aisle,-0.4,0,0
771,840361,32759440919,359,12:56 PM,Jan 24,0.79,EGGS,EGGS - LARGE,1,Side-Aisle End Cap,-0.3,0,0
716,994928,31883986585,400,1:22 PM,Nov 26,0.34,EGGS,EGGS - MEDIUM,1,In-Aisle,-0.31,0,0
725,994928,31895931190,400,2:02 PM,Nov 27,1,EGGS,EGGS - MEDIUM,3,In-Aisle,-0.95,0,0
768,1103741,32204415115,323,7:00 AM,Dec 23,1,FRUIT - SHELF STABLE,MANDARIN ORANGES/CITRUS SECT,1,In-Shelf,-0.59,0,0
768,12384365,33768616308,323,1:58 PM,Apr 2,1.25,CHEESE,SHREDDED CHEESE,1,In-Aisle,-0.53,0,0
712,933067,33132965412,448,10:26 AM,Feb 22,2.5,BACON,FLAVORED/OTHER,1,Rear Aisle,-1.49,0,0
