Column1,householdid,productid,storeid,daydate,transactiontime,displayadtypedesc
1049,712,842140,448,Jan 22,12:05 PM,In-Aisle
1050,631,927191,389,Jan 22,4:54 PM,In-Aisle
1051,718,1098066,324,Jan 22,4:54 PM,Other Location Display
1052,740,843306,370,Jan 23,3:25 PM,Other Location Display
1053,786,981760,339,Mar 3,4:29 PM,Rear Aisle
1054,661,1138292,427,Jan 25,4:13 PM,Rear End Cap
1055,647,8090521,343,Mar 8,4:47 PM,In-Aisle
1056,768,957741,323,Dec 5,6:16 AM,Other Location Display
1057,680,1098066,424,Dec 6,5:54 PM,In-Aisle
1058,771,999270,359,Dec 22,9:37 AM,Rear Aisle
1059,764,1083721,33923,Jan 7,9:43 AM,Front End Cap
1060,786,972665,339,Feb 23,8:59 AM,Other Location Display
1061,605,9420067,369,May 1,8:16 PM,Front End Cap
1062,768,9526410,323,May 3,5:28 PM,In-Aisle
1063,761,1002806,343,Sep 25,6:23 PM,In-Aisle
1064,786,989069,339,Oct 4,4:59 PM,Rear Aisle
1065,696,966787,31742,Jun 2,9:00 PM,Side-Aisle End Cap
1066,631,1038217,389,Jun 4,3:42 PM,Rear End Cap
1067,771,1084949,359,Jun 20,12:07 PM,Mid-Aisle End Cap
1068,712,842140,448,Nov 15,10:08 AM,In-Aisle
1069,788,5569845,360,Nov 16,2:49 PM,In-Aisle
1070,718,917384,324,Nov 16,3:11 PM,Rear End Cap
1071,761,15972927,343,Nov 23,7:28 PM,Rear End Cap
1072,771,1078652,359,Nov 25,12:10 AM,Side-Aisle End Cap
1073,733,1068719,356,Mar 31,6:18 PM,Rear End Cap
1074,718,1097001,324,Mar 31,9:16 PM,Other Location Display
1075,766,923149,322,Apr 24,1:11 PM,Front End Cap
1076,755,929668,338,Aug 3,12:37 PM,Rear End Cap
1077,753,1053690,442,Sep 4,12:39 PM,Rear Aisle
1078,661,1138292,427,Jan 20,7:44 PM,Rear End Cap
1079,647,942045,438,Jan 20,8:23 PM,Front End Cap
1080,706,849843,32004,Feb 16,4:10 PM,Other Location Display
1081,718,826249,324,Dec 31,6:05 PM,Other Location Display
1082,718,826249,324,Jan 1,3:43 PM,Other Location Display
1083,764,9297031,33923,Apr 23,9:35 PM,In-Aisle
1084,622,1106523,356,Apr 27,9:30 AM,Front End Cap
1085,786,9446699,339,Jul 16,12:06 PM,Mid-Aisle End Cap
1086,761,831712,343,May 10,10:42 PM,Other Location Display
1087,740,1015231,404,Nov 7,1:45 PM,Front End Cap
1088,766,6391073,333,Nov 13,2:14 PM,Front Aisle
1089,722,908408,359,Apr 29,11:39 AM,In-Aisle
1090,699,1099164,408,May 19,11:04 AM,In-Aisle
1091,607,854405,304,Oct 28,10:05 PM,Front Aisle
1092,786,1008032,339,Nov 3,9:57 AM,Mid-Aisle End Cap
1093,722,868888,359,Mar 22,11:50 AM,In-Shelf
1094,718,863762,324,Nov 6,9:30 PM,Other Location Display
1095,718,988957,324,Jan 25,10:51 AM,Other Location Display
1096,768,998984,323,Jan 27,5:07 PM,In-Aisle
1097,647,8090521,343,Mar 4,10:00 PM,In-Aisle
1098,766,13910641,333,Apr 4,3:31 PM,Front End Cap
1099,696,1126899,31742,Sep 24,2:59 PM,Front End Cap
1100,718,883404,324,Jul 14,5:40 PM,Other Location Display
1101,631,1113274,389,May 23,2:17 PM,In-Aisle
1102,715,13512131,354,May 24,11:17 AM,Front End Cap
1103,607,1096036,391,Jul 25,10:31 PM,Other Location Display
1104,766,6443166,333,Jun 23,5:14 PM,Rear End Cap
1105,768,894627,323,Oct 27,5:29 PM,Front Aisle
1106,696,980823,31742,Oct 31,3:21 PM,Front Aisle
1107,788,1006978,318,Sep 15,12:49 PM,In-Shelf
1108,740,982960,404,Aug 10,2:02 PM,In-Shelf
1109,680,965766,424,Jun 16,4:13 PM,Rear Aisle
1110,740,1006342,404,May 31,7:43 PM,Front Aisle
1111,715,8014645,389,Sep 3,9:19 AM,In-Aisle
1112,718,821845,324,Sep 3,6:31 PM,Rear End Cap
1113,788,1002418,360,Oct 12,11:02 AM,Rear Aisle
1114,725,905868,400,Mar 30,10:48 AM,Rear End Cap
1115,607,923746,372,Apr 6,7:19 AM,In-Aisle
1116,715,6391213,389,Mar 16,12:42 PM,Rear End Cap
1117,607,1080472,381,Apr 25,11:36 PM,Rear Aisle
1118,630,5980389,306,Apr 12,1:42 PM,Front Aisle
1119,631,844836,389,May 3,1:06 PM,Other Location Display
1120,788,981760,313,Oct 4,3:20 PM,In-Aisle
1121,718,1092026,324,Oct 4,3:38 PM,In-Aisle
1122,680,1034134,424,Sep 14,4:47 PM,Other Location Display
1123,753,883932,396,Aug 6,7:54 PM,Front End Cap
1124,722,1059922,359,Oct 9,6:05 PM,In-Aisle
1125,712,825665,369,Jun 13,12:24 PM,Rear Aisle
1126,761,990797,343,Oct 29,8:14 PM,In-Aisle
1127,718,1092026,324,Sep 30,5:39 PM,In-Aisle
1128,725,896369,400,Nov 13,6:27 PM,In-Aisle
1129,779,8154595,381,Nov 28,6:02 PM,Mid-Aisle End Cap
1130,766,7410341,333,Apr 17,6:27 PM,Rear End Cap
1131,696,859075,31742,Dec 30,8:35 PM,Side-Aisle End Cap
1132,680,13213029,424,Dec 30,5:23 PM,Front End Cap
1133,786,972665,339,Aug 24,9:19 AM,Other Location Display
1134,740,942525,404,Jul 27,1:49 PM,Front End Cap
1135,614,883932,288,Jul 4,5:42 PM,Mid-Aisle End Cap
1136,788,13115525,360,Nov 2,1:21 PM,Side-Aisle End Cap
1137,779,832678,343,Nov 5,7:12 PM,In-Aisle
1138,607,888560,372,Apr 19,9:44 PM,Front Aisle
1139,607,1063707,372,Mar 13,6:40 PM,Rear End Cap
1140,788,5568378,360,May 16,7:07 PM,Other Location Display
1141,692,874617,335,Aug 13,5:49 PM,In-Shelf
1142,696,835278,31742,Nov 6,12:36 PM,Front End Cap
1143,696,1062966,31742,Nov 6,12:36 PM,Rear Aisle
1144,718,850645,324,Mar 5,1:25 PM,Rear Aisle
1145,718,1029968,324,Dec 25,5:34 PM,Front End Cap
1146,725,819255,400,Feb 15,2:56 PM,Rear Aisle
1147,768,1005173,323,Dec 28,8:06 PM,Rear End Cap
1148,715,823704,415,Sep 12,2:38 PM,Rear Aisle
1149,601,1048200,329,May 20,8:04 PM,Front End Cap
1150,788,934676,360,Sep 15,5:44 PM,Rear End Cap
1151,718,938599,324,Sep 27,6:15 PM,Rear End Cap
1152,699,972229,408,Sep 2,1:20 PM,Rear Aisle
1153,786,883404,339,Jun 24,1:59 PM,In-Aisle
1154,696,995896,31742,Jun 26,3:38 PM,Rear Aisle
1155,601,822407,329,Jun 26,6:08 PM,Front End Cap
1156,696,949635,448,Oct 5,4:34 PM,Side-Aisle End Cap
1157,764,941427,33923,Oct 20,4:17 PM,Side-Aisle End Cap
1158,706,7166861,343,Oct 27,7:48 PM,Rear End Cap
1159,786,1133018,339,Oct 29,10:36 AM,Other Location Display
1160,733,1039589,356,Dec 4,7:05 PM,Other Location Display
1161,788,6464074,360,Mar 5,7:52 PM,Rear End Cap
1162,718,10254377,324,Oct 17,6:01 PM,Front Aisle
1163,764,967751,346,May 14,7:54 PM,Rear Aisle
1164,712,995896,448,May 27,1:20 PM,Rear Aisle
1165,607,1043128,372,Aug 8,6:17 PM,In-Shelf
1166,771,911609,424,Jun 16,9:21 AM,Front End Cap
1167,722,889223,359,Jun 16,12:40 PM,Rear End Cap
1168,768,952943,323,Aug 29,6:19 AM,Rear End Cap
1169,768,974988,323,Sep 7,6:59 PM,Front End Cap
1170,718,965378,324,Jul 23,10:51 AM,Other Location Display
1171,614,1045220,288,Dec 1,12:01 PM,Front Aisle
1172,718,965378,324,Dec 3,10:34 AM,Other Location Display
1173,699,862139,408,Mar 15,10:29 AM,Rear End Cap
1174,699,942817,408,Mar 15,10:29 AM,In-Aisle
1175,647,1046465,343,Aug 30,2:52 PM,Front End Cap
1176,761,1075214,343,Aug 8,9:27 PM,Front End Cap
1177,699,891028,408,Nov 24,12:36 PM,Rear Aisle
1178,631,972487,389,Mar 29,4:54 PM,In-Aisle
1179,718,833014,324,Aug 3,5:00 PM,Rear Aisle
1180,712,820347,448,Sep 14,1:08 PM,Rear End Cap
1181,722,1098066,359,May 25,4:07 PM,Other Location Display
1182,712,1007512,31742,Oct 10,12:54 PM,Other Location Display
1183,631,1050229,389,Sep 19,11:34 AM,Rear End Cap
1184,605,859224,369,Sep 24,1:11 PM,Rear End Cap
1185,718,883299,324,Sep 24,1:45 PM,Rear End Cap
1186,647,824272,343,Oct 12,6:31 PM,Side-Aisle End Cap
1187,786,999270,339,Sep 30,1:10 PM,Rear Aisle
1188,786,1092835,339,Jan 19,8:53 AM,Mid-Aisle End Cap
1189,718,873324,324,Feb 8,2:04 PM,Rear End Cap
1190,712,1070820,369,Jan 3,11:11 AM,Other Location Display
1191,764,965766,33923,Apr 23,9:35 PM,In-Aisle
1192,797,9857388,450,Jul 8,6:41 PM,Side-Aisle End Cap
1193,696,1121384,31742,Sep 16,2:56 PM,Front End Cap
1194,768,6551990,323,Jul 27,3:22 PM,Rear End Cap
1195,766,1105917,333,Oct 4,8:00 PM,In-Aisle
1196,696,834491,31742,May 30,9:13 AM,Front End Cap
1197,696,15511584,31742,May 30,9:13 AM,In-Aisle
1198,725,1105623,400,Aug 7,2:25 PM,Front End Cap
1199,787,867668,443,Sep 21,5:58 PM,Rear End Cap
1200,766,13213567,333,Nov 13,2:14 PM,Front End Cap
1201,715,15716680,415,Nov 13,9:36 AM,In-Shelf
1202,740,5577007,404,Jul 11,2:03 PM,Side-Aisle End Cap
1203,692,826816,335,Jul 11,3:57 PM,Front End Cap
1204,605,994928,369,Mar 4,1:29 PM,Rear Aisle
1205,718,1002763,324,Jan 25,10:51 AM,In-Aisle
1206,762,920002,391,Jan 27,8:49 PM,Rear Aisle
1207,761,1042907,343,Feb 7,1:37 PM,Rear Aisle
1208,766,936594,333,Mar 15,10:55 PM,Front End Cap
1209,712,5569374,448,Dec 28,2:09 PM,Other Location Display
1210,718,1092026,324,Mar 31,6:24 PM,Rear Aisle
1211,786,12263932,339,Jan 12,9:24 AM,Mid-Aisle End Cap
1212,630,13189981,306,Feb 25,4:17 PM,Front End Cap
1213,762,849003,31862,Apr 21,12:50 PM,Rear End Cap
1214,614,1043730,288,May 8,6:39 PM,Mid-Aisle End Cap
1215,601,12330794,329,May 20,8:04 PM,In-Aisle
1216,762,913598,31862,Jul 23,7:18 PM,In-Aisle
1217,699,1058068,408,May 23,7:27 PM,Front End Cap
1218,712,9526410,448,May 24,11:23 AM,Other Location Display
1219,771,898510,359,Aug 1,1:13 PM,Rear End Cap
1220,768,1056005,323,Dec 2,11:09 AM,In-Shelf
1221,718,1007191,324,Apr 7,12:57 PM,Other Location Display
1222,716,951221,400,Apr 8,7:48 PM,In-Aisle
1223,661,1138292,427,Jul 27,2:47 PM,Rear End Cap
1224,605,1007082,369,Oct 17,12:53 PM,Mid-Aisle End Cap
1225,741,982485,315,Aug 10,2:14 PM,Side-Aisle End Cap
1226,622,1111072,356,Oct 27,9:42 PM,Rear End Cap
1227,661,1138292,427,Jul 22,5:27 PM,Rear End Cap
1228,786,878715,339,Mar 3,4:29 PM,Other Location Display
1229,661,1138292,427,Dec 4,7:58 PM,Other Location Display
1230,601,957741,329,Dec 4,6:50 PM,Rear Aisle
1231,725,850841,400,Dec 21,4:47 PM,Front End Cap
1232,706,8090521,343,Apr 24,3:19 PM,In-Aisle
1233,786,13945141,339,Jul 19,11:01 PM,Other Location Display
1234,630,927960,306,Jul 20,3:09 PM,Side-Aisle End Cap
1235,741,916050,315,Sep 13,8:33 PM,Mid-Aisle End Cap
1236,630,837107,306,Jun 2,1:30 PM,Side-Aisle End Cap
1237,762,13007912,31862,Jun 18,8:24 PM,Front End Cap
1238,718,923746,324,Apr 4,12:06 PM,In-Aisle
1239,788,1108168,360,Mar 18,2:31 PM,Other Location Display
1240,607,826249,432,Mar 19,5:22 PM,In-Aisle
1241,696,856827,31742,May 9,2:49 PM,Rear Aisle
1242,718,981760,324,May 2,10:35 AM,In-Aisle
1243,614,1002850,288,Oct 18,8:45 PM,Rear Aisle
1244,614,865456,288,Jun 27,6:16 PM,Other Location Display
1245,631,1038217,389,Aug 24,5:15 PM,Rear End Cap
1246,788,8090521,313,Nov 9,11:41 AM,In-Aisle
1247,766,1047769,333,Nov 25,11:24 AM,In-Aisle
1248,718,984715,324,Dec 31,6:05 PM,In-Shelf
1249,712,914190,448,Sep 22,10:04 AM,Rear Aisle
1250,740,1097239,404,Apr 21,8:38 PM,Front End Cap
1251,718,8090521,324,Jul 15,1:47 PM,In-Aisle
1252,715,961447,389,May 10,6:15 PM,Rear End Cap
1253,768,9884698,323,Aug 30,5:04 PM,Rear Aisle
1254,762,1025522,31862,Sep 8,8:14 PM,In-Aisle
1255,768,834117,323,Nov 14,5:38 PM,Other Location Display
1256,725,893501,400,Apr 2,12:56 PM,In-Aisle
1257,718,923746,324,Apr 3,3:38 PM,In-Aisle
1258,718,896369,324,May 15,3:53 PM,In-Shelf
1259,614,827180,288,Aug 20,4:05 PM,In-Shelf
1260,706,936741,343,Jul 14,4:43 PM,Front End Cap
1261,661,13038925,330,Nov 5,8:07 PM,In-Shelf
1262,731,1060872,355,Apr 15,1:55 PM,Other Location Display
1263,699,13382454,408,Dec 28,2:44 PM,Front End Cap
1264,647,9526410,343,Jan 12,1:43 PM,Side-Aisle End Cap
1265,786,7442056,339,Jun 24,1:59 PM,Rear End Cap
1266,631,1043035,389,Oct 20,1:38 PM,Side-Aisle End Cap
1267,631,1043035,389,Oct 24,12:19 PM,Side-Aisle End Cap
1268,761,893501,343,Oct 28,11:37 AM,Front Aisle
1269,718,859010,324,Nov 28,5:49 PM,Side-Aisle End Cap
1270,699,1074754,408,Apr 23,2:41 PM,Rear Aisle
1271,761,952563,343,Aug 6,6:07 PM,Rear Aisle
1272,630,983000,306,Sep 14,3:40 PM,Rear Aisle
1273,680,8177622,424,Oct 25,3:29 PM,Rear Aisle
1274,718,5589141,324,May 30,12:43 PM,Front Aisle
1275,680,832678,424,Aug 26,6:03 PM,Side-Aisle End Cap
1276,712,1012338,369,Sep 7,1:17 PM,Other Location Display
1277,696,975604,31742,Jan 25,11:59 AM,Front Aisle
1278,771,949965,359,Dec 3,12:54 PM,Rear Aisle
1279,661,1044805,427,Apr 14,2:05 PM,Rear End Cap
1280,696,859075,31742,Feb 11,3:34 PM,Rear Aisle
1281,797,924092,450,Feb 21,8:42 PM,In-Aisle
1282,712,895743,448,Apr 29,11:23 AM,Other Location Display
1283,718,883404,324,May 31,12:17 PM,Other Location Display
1284,696,874617,31742,Oct 5,2:30 PM,Rear End Cap
1285,712,10356540,448,Jun 6,1:04 PM,Mid-Aisle End Cap
1286,740,12987895,404,Oct 8,4:03 PM,Rear End Cap
1287,631,1129822,389,Mar 29,4:54 PM,In-Shelf
1288,680,1030318,359,Apr 25,6:51 PM,Rear End Cap
1289,631,8065410,389,Mar 22,3:10 PM,Rear Aisle
1290,762,12352204,31862,Oct 19,12:35 PM,Front Aisle
1291,725,893501,400,May 7,4:43 PM,In-Aisle
1292,630,901711,306,May 10,2:34 PM,Side-Aisle End Cap
1293,788,849843,318,Sep 15,12:49 PM,Side-Aisle End Cap
1294,647,871570,343,Aug 8,6:36 PM,In-Shelf
1295,715,1033615,354,Sep 20,4:41 PM,Other Location Display
1296,725,857849,400,Jun 18,1:05 PM,Other Location Display
1297,630,5568721,306,Oct 30,2:38 PM,Front End Cap
1298,771,9837544,359,Jul 31,10:24 PM,Front Aisle
1299,607,1051069,372,Sep 9,6:39 PM,Front Aisle
1300,631,826249,389,Jan 22,4:54 PM,In-Aisle
1301,605,933609,369,Feb 11,2:28 PM,Mid-Aisle End Cap
1302,718,927191,324,Jan 4,2:56 PM,In-Shelf
1303,715,981760,389,Apr 19,3:28 PM,Other Location Display
1304,764,922651,33923,Apr 20,9:14 PM,Rear End Cap
1305,725,883404,400,Jan 8,1:58 PM,Other Location Display
1306,786,981760,339,Feb 23,8:59 AM,Rear Aisle
1307,706,1133254,343,Apr 24,3:19 PM,Rear End Cap
1308,764,1106523,33923,Jun 19,4:26 PM,Front End Cap
1309,725,973916,400,Nov 18,12:33 PM,Rear Aisle
1310,786,937845,448,Nov 25,2:27 PM,Other Location Display
1311,725,893501,400,May 8,12:41 PM,In-Aisle
1312,787,957736,389,May 9,8:37 AM,Rear Aisle
1313,788,837073,360,Apr 15,10:11 AM,Front End Cap
1314,712,919755,448,Mar 24,11:47 AM,In-Aisle
1315,718,849843,324,Apr 16,6:51 PM,In-Aisle
1316,607,987562,432,Oct 25,9:35 PM,Rear Aisle
1317,712,1041796,448,Sep 19,12:54 PM,Front End Cap
1318,788,889774,360,Aug 16,9:44 AM,In-Shelf
1319,766,958549,333,Sep 3,8:06 PM,Rear End Cap
1320,764,929309,33923,Apr 16,9:07 PM,Rear End Cap
1321,718,965378,324,Jan 20,1:09 PM,Other Location Display
1322,606,1098066,380,Mar 10,7:32 PM,In-Aisle
1323,788,1103629,313,Feb 9,6:28 PM,Front End Cap
1324,715,1124729,354,Dec 30,12:23 PM,Rear Aisle
1325,696,8090532,31742,Mar 18,10:21 PM,Rear Aisle
1326,631,1038217,389,Dec 30,2:16 PM,Front End Cap
1327,762,829982,31862,Jan 1,8:38 AM,Side-Aisle End Cap
1328,631,895039,389,Jul 26,6:04 PM,Side-Aisle End Cap
1329,762,845774,432,May 30,9:08 PM,Rear Aisle
1330,766,900145,333,Aug 4,4:41 PM,Front Aisle
1331,762,976199,31862,Sep 3,7:38 PM,Side-Aisle End Cap
1332,786,948509,339,Jun 29,8:44 AM,In-Aisle
1333,680,900586,424,Nov 11,5:08 PM,Side-Aisle End Cap
1334,718,5569309,324,Aug 1,6:55 PM,Side-Aisle End Cap
1335,786,972665,339,Oct 19,1:47 PM,In-Aisle
1336,715,910291,389,Aug 20,8:24 AM,Front Aisle
1337,718,1098066,324,Aug 21,4:30 PM,Other Location Display
1338,661,1138292,427,Aug 23,5:46 PM,Other Location Display
1339,614,840361,288,Oct 14,1:26 PM,Rear Aisle
1340,755,906763,382,Sep 29,12:38 PM,Rear End Cap
1341,605,5569230,369,Nov 6,8:14 PM,Front Aisle
1342,718,1030819,324,Nov 20,5:06 PM,Other Location Display
1343,696,920425,31742,Nov 22,8:15 PM,In-Aisle
1344,797,6034956,450,Nov 24,3:50 PM,Other Location Display
1345,771,928036,359,Apr 12,9:48 PM,Mid-Aisle End Cap
1346,761,13911031,343,Jan 14,9:50 AM,In-Aisle
1347,768,896369,323,Sep 22,9:06 AM,Other Location Display
1348,696,838842,31742,Sep 14,7:17 PM,Rear Aisle
1349,779,870195,343,May 20,3:40 PM,In-Aisle
1350,718,896369,324,May 21,5:30 PM,In-Shelf
1351,725,12781777,400,Oct 21,6:07 PM,Front End Cap
1352,768,987724,323,Oct 25,10:58 PM,In-Aisle
1353,647,951590,438,Oct 30,8:21 PM,In-Aisle
1354,768,852521,323,Oct 31,6:23 AM,Other Location Display
1355,740,993441,404,Aug 10,2:02 PM,Rear End Cap
1356,715,9368132,354,Sep 20,4:41 PM,Front End Cap
1357,755,834631,433,Oct 10,4:32 PM,Other Location Display
1358,715,1051069,389,Mar 2,2:37 PM,Front Aisle
1359,740,1029743,370,Feb 3,1:37 PM,Front End Cap
1360,712,868319,369,Dec 6,10:07 AM,In-Aisle
1361,715,833025,354,Apr 10,3:46 PM,Rear Aisle
1362,614,1121321,288,Dec 23,8:27 PM,Rear Aisle
1363,786,10284972,339,Feb 23,8:59 AM,Side-Aisle End Cap
1364,718,870547,324,May 1,5:54 PM,In-Aisle
1365,768,6773204,323,May 17,7:10 PM,Rear End Cap
1366,761,979566,343,Aug 8,9:27 PM,Other Location Display
1367,779,5587938,343,Nov 15,8:29 AM,Front End Cap
1368,614,840361,288,Oct 18,8:45 PM,Rear Aisle
1369,696,1041874,31742,Jun 12,11:00 AM,Other Location Display
1370,699,1099164,408,Jun 11,1:48 PM,In-Aisle
1371,761,8090533,343,Jun 14,1:55 PM,Side-Aisle End Cap
1372,779,1092303,343,Aug 16,5:58 PM,In-Aisle
1373,725,859075,400,Jun 28,3:11 PM,In-Aisle
1374,696,9337369,31742,Jun 30,1:32 PM,In-Aisle
1375,766,7431989,322,Jun 30,7:11 PM,Front Aisle
1376,699,12171886,408,Jan 15,10:08 AM,Rear End Cap
1377,718,10254152,324,Apr 12,8:03 PM,Front End Cap
1378,696,846764,338,Dec 16,10:00 AM,In-Shelf
1379,722,12352204,424,Jul 7,4:13 PM,Front End Cap
1380,696,1053022,31742,Apr 24,3:31 PM,Front Aisle
1381,622,897306,356,Jun 16,12:45 PM,Rear End Cap
1382,718,10121965,324,Jun 17,12:52 AM,Front End Cap
1383,706,15926775,343,Jun 29,10:45 AM,In-Aisle
1384,622,10351524,356,Nov 2,5:39 PM,Front Aisle
1385,718,10121965,324,Nov 7,5:43 PM,Front End Cap
1386,764,10121965,33923,Nov 13,4:06 PM,In-Aisle
1387,779,5587938,343,Nov 13,1:22 PM,Front End Cap
1388,607,9527290,372,Apr 4,6:10 PM,Other Location Display
1389,731,1088858,438,Jun 3,5:05 PM,Side-Aisle End Cap
1390,699,824596,408,Aug 21,2:06 PM,In-Aisle
1391,718,1009719,324,Oct 11,3:32 PM,Rear End Cap
1392,715,1043064,389,Aug 21,5:48 PM,Rear End Cap
1393,718,965378,324,Aug 22,9:01 AM,Front End Cap
1394,630,867188,306,Sep 1,8:28 PM,Rear End Cap
1395,718,826249,324,Dec 7,4:49 PM,Other Location Display
1396,731,1074524,329,Dec 10,4:25 PM,In-Aisle
1397,725,1108168,400,Feb 15,2:56 PM,In-Aisle
1398,699,13094910,408,Dec 28,2:44 PM,Front End Cap
1399,680,1106428,424,Jan 12,12:28 PM,Front Aisle
1400,706,1092026,343,Jul 5,5:21 PM,In-Aisle
1401,647,9526410,343,May 3,3:22 PM,Side-Aisle End Cap
1402,718,844818,324,May 4,1:24 PM,Front End Cap
1403,630,6464147,306,May 20,11:09 AM,Front End Cap
1404,718,849843,324,Jun 26,12:17 PM,Other Location Display
1405,696,954347,31742,Oct 21,3:34 PM,Front End Cap
1406,786,832678,339,Oct 29,10:36 AM,Mid-Aisle End Cap
1407,733,5569230,356,Dec 4,7:05 PM,Front Aisle
1408,699,823721,408,Dec 6,9:08 AM,Other Location Display
1409,733,5569230,356,Dec 6,4:39 PM,Front Aisle
1410,740,937413,404,Aug 10,2:02 PM,In-Shelf
1411,733,5569471,356,Oct 26,1:37 PM,In-Aisle
1412,601,822407,32004,Jun 17,1:09 PM,Front End Cap
1413,733,908489,356,Jul 6,2:32 PM,Rear Aisle
1414,696,823704,31742,Oct 2,2:43 PM,Rear Aisle
1415,692,864579,335,Oct 16,1:27 PM,Front End Cap
1416,733,932702,356,Feb 1,4:04 PM,Rear End Cap
1417,712,822178,448,Feb 2,11:12 AM,In-Aisle
1418,680,984715,424,Dec 6,5:54 PM,Rear End Cap
1419,718,1013784,324,Mar 14,5:46 PM,In-Aisle
1420,761,9526410,343,Apr 29,10:08 PM,Side-Aisle End Cap
1421,718,844818,324,Apr 30,8:45 PM,Front End Cap
1422,786,1106523,339,Jul 12,9:13 AM,Front End Cap
1423,630,840361,306,Jul 20,3:09 PM,In-Aisle
1424,718,883404,324,May 18,4:42 PM,In-Aisle
1425,768,834117,323,Oct 12,12:01 PM,Other Location Display
1426,788,12946027,360,Oct 16,7:27 PM,Rear Aisle
1427,699,6554202,408,Oct 17,1:30 PM,Front End Cap
1428,740,848154,404,Nov 22,5:10 PM,Front End Cap
1429,761,1013321,343,Nov 23,7:28 PM,Other Location Display
1430,762,15571171,391,Nov 24,7:33 PM,Rear Aisle
1431,607,917742,432,Apr 27,8:13 AM,Rear Aisle
1432,631,5590287,389,Mar 25,2:41 PM,In-Aisle
1433,607,981222,372,Sep 19,5:04 AM,Rear Aisle
1434,740,999537,404,Aug 17,6:29 PM,Rear Aisle
1435,716,838971,400,Jun 26,8:39 AM,Front End Cap
1436,761,12577242,343,Oct 29,8:14 PM,Rear Aisle
1437,630,952707,306,Aug 24,2:30 PM,In-Shelf
1438,699,911812,408,Sep 30,1:23 PM,Other Location Display
1439,725,916381,400,Sep 4,1:49 PM,In-Aisle
1440,718,977499,324,Nov 13,3:58 PM,Other Location Display
1441,761,9296957,384,Mar 11,8:01 PM,In-Aisle
1442,771,845196,424,Mar 11,12:53 PM,Rear End Cap
1443,786,1065538,339,Dec 15,8:54 AM,Other Location Display
1444,725,988791,400,Dec 16,5:42 PM,Rear End Cap
1445,725,1108168,400,Feb 10,5:56 PM,In-Aisle
1446,725,13671963,400,Mar 18,5:29 PM,Front Aisle
1447,631,976199,389,Jul 8,6:21 PM,In-Aisle
1448,680,825970,424,Apr 27,2:26 PM,Rear Aisle
1449,712,911812,448,Aug 29,1:44 PM,In-Shelf
1450,699,982790,408,Aug 7,2:06 PM,Rear Aisle
1451,771,12777679,359,Oct 3,1:12 PM,Side-Aisle End Cap
1452,768,1029743,292,Aug 15,2:30 PM,Front End Cap
1453,771,5568378,289,Aug 16,6:32 PM,In-Aisle
1454,631,1043035,389,Nov 3,12:48 PM,Side-Aisle End Cap
1455,740,12384952,404,Nov 4,4:52 PM,In-Shelf
1456,718,1075214,324,Nov 7,5:43 PM,Front End Cap
1457,630,981760,306,May 4,9:38 PM,In-Aisle
1458,718,952981,327,Apr 24,6:21 PM,Rear Aisle
1459,733,883549,356,May 17,6:00 PM,Rear End Cap
1460,768,1123035,323,Oct 29,6:20 AM,Front End Cap
1461,725,1053690,400,Sep 17,12:10 PM,In-Aisle
1462,787,981776,443,Oct 22,6:49 PM,In-Shelf
1463,715,915874,354,Nov 2,1:26 PM,Side-Aisle End Cap
1464,712,999270,448,Nov 5,11:20 AM,Rear Aisle
1465,733,5569471,356,Apr 13,3:53 PM,In-Aisle
1466,725,879504,400,Mar 5,11:49 AM,Side-Aisle End Cap
1467,768,902167,323,Dec 8,1:56 PM,Rear End Cap
1468,699,9527290,408,Feb 8,8:54 PM,Side-Aisle End Cap
1469,786,878715,339,Mar 16,8:31 AM,In-Aisle
1470,696,832678,31742,Dec 29,12:12 PM,In-Aisle
1471,680,958046,424,Jan 12,12:28 PM,In-Shelf
1472,771,928238,359,Apr 12,9:48 PM,Other Location Display
1473,733,932702,356,Jan 14,12:26 PM,Rear End Cap
1474,768,1066069,323,Aug 28,6:14 AM,Front End Cap
1475,741,972229,315,Oct 2,9:42 PM,Rear Aisle
1476,733,16770156,356,Sep 15,12:32 PM,Rear End Cap
1477,712,995628,448,Oct 5,12:59 PM,Front End Cap
1478,706,10204488,343,Oct 24,6:10 AM,Front Aisle
1479,786,841220,339,May 28,11:57 AM,Rear Aisle
1480,768,881328,323,Sep 20,5:24 PM,Other Location Display
1481,786,1065538,339,Aug 18,8:48 AM,Rear Aisle
1482,630,1048352,306,Oct 30,2:38 PM,Rear End Cap
1483,761,923746,343,Jul 5,11:53 AM,In-Aisle
1484,647,913278,343,Jul 5,5:49 PM,Other Location Display
1485,696,6463724,31742,Jul 6,4:32 PM,Front End Cap
1486,766,1104414,333,Oct 2,4:02 PM,Rear Aisle
1487,740,1063577,404,Oct 24,2:02 PM,Front End Cap
1488,740,828805,404,Jan 24,6:34 PM,Rear End Cap
1489,740,867188,404,Jan 24,6:34 PM,Front Aisle
1490,699,838010,408,Dec 4,1:40 PM,Front End Cap
1491,696,5569845,31742,Dec 18,5:31 PM,Rear Aisle
1492,771,928238,359,Apr 9,2:25 PM,Other Location Display
1493,715,6533236,354,Apr 10,3:46 PM,In-Aisle
1494,764,6919636,33923,Jan 7,2:28 PM,Side-Aisle End Cap
