,householdid,productid,weeknum,salesvalue,productdesc,productsubdesc,qty,cartid,storeid,daynum,transactiontime,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
2383,725,929433,79,2.0,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,40062112341,400,548,1739,In-Aisle,-1.18,0.0,0.0
2384,715,1106422,98,1.0,ORAL HYGIENE PRODUCTS,TOOTHPASTE,1,41904785584,415,682,1046,Side-Aisle End Cap,-1.09,0.0,0.0
2385,768,845894,100,3.0,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,1,42076533171,323,695,0637,Rear End Cap,-0.99,0.0,0.0
2386,741,976199,37,2.5,BUTTER,BUTTER,1,30780572012,315,252,2024,Side-Aisle End Cap,-1.09,0.0,0.0
2387,722,10118257,17,5.99,MEAT - MISC,GRND/PATTY - FROZEN,1,28318361001,359,111,1325,Other Location Display,-2.0,0.0,0.0
2388,712,1001298,19,1.89,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,28601530890,448,128,1316,In-Aisle,-0.7,0.0,0.0
2389,696,1126899,38,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30871376345,31742,259,1548,Front End Cap,0.0,0.0,0.0
2390,622,1092937,25,4.0,LUNCHMEAT,BOLOGNA,2,29251002743,356,170,1904,Rear Aisle,-2.58,0.0,0.0
2391,696,966479,34,3.99,BUTTER,BUTTER,1,30531000599,31742,232,1145,Rear Aisle,0.0,0.0,0.0
2392,788,5570048,34,4.69,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,30531931285,313,233,1300,Front Aisle,0.0,0.0,0.0
2393,740,824028,28,1.0,SNKS/CKYS/CRKR/CNDY,COOKIES/SWEET GOODS,2,29602511099,404,191,1403,Side-Aisle End Cap,0.0,0.0,0.0
2394,647,940980,39,1.0,BAKING NEEDS,BAKING POWDER & SODA,2,31020382603,343,270,2228,In-Aisle,-0.18,0.0,0.0
2395,797,880427,47,2.5,BAKED BREAD/BUNS/ROLLS,PREMIUM BREAD,1,31769816582,450,321,1633,In-Aisle,-0.69,0.0,0.0
2396,614,9527160,58,2.0,BAG SNACKS,POTATO CHIPS,1,32873185111,288,398,0746,Front End Cap,0.0,0.0,0.0
2397,680,819255,66,2.0,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,33768837431,424,456,1802,In-Shelf,-1.49,0.0,0.0
2398,761,990797,81,2.0,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,40223306563,343,561,1212,In-Aisle,-0.68,0.0,0.0
2399,761,1053690,71,2.64,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,3,34338781615,343,494,2242,In-Aisle,-2.13,0.0,0.0
2400,771,928238,78,2.49,CHIPS&SNACKS,TORTILLA CHIPS,1,35877742661,359,538,2107,Front Aisle,0.0,0.0,0.0
2401,680,12487759,88,2.0,BAG SNACKS,POTATO CHIPS,1,40865302084,424,613,1543,Rear Aisle,-0.99,0.0,0.0
2402,622,14025531,85,3.34,DEODORANTS,SOLID/STK DEODORANTS,1,40577817300,298,590,1717,Side-Aisle End Cap,-0.65,0.0,0.0
2403,786,5569230,96,4.19,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,41691785541,448,666,1244,Side-Aisle End Cap,-0.5,0.0,0.0
2404,605,964133,42,2.5,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,1,31269142070,369,289,1253,Mid-Aisle End Cap,-0.49,0.0,0.0
2405,762,9854913,24,1.34,DIETARY AID PRODUCTS,DIET CNTRL BARS NUTRITIONAL,1,29124850134,31862,162,0846,Side-Aisle End Cap,-0.35,0.0,0.0
2406,768,825650,24,0.92,DRY MIX DESSERTS,PUDDING&GELATIN CUPS/CANS,1,29157341668,292,164,1518,In-Shelf,0.0,0.0,0.0
2407,762,991124,31,1.89,SOAP - LIQUID & BAR,LIQUID SOAP,1,30017710094,31862,211,0757,Side-Aisle End Cap,-0.1,0.0,0.0
2408,779,909396,36,1.76,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,30701114024,343,246,2100,Rear Aisle,-1.42,0.0,0.0
2409,788,913785,47,1.0,CONDIMENTS/SAUCES,CATSUP,1,31804026402,313,323,1346,Rear End Cap,-0.37,0.0,0.0
2410,647,8090509,62,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,33293855439,343,427,2200,In-Aisle,-2.09,0.0,0.0
2411,706,1013321,58,0.78,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,2,32932137029,32004,401,1841,Rear End Cap,-0.8,0.0,0.0
2412,788,7441391,80,0.25,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,40174405224,360,557,0946,In-Aisle,-0.35,0.0,0.0
2413,696,1119550,71,2.0,SOFT DRINKS,SOFT DRINKS CAN NON-CARB (EXCE,2,34291706426,31742,490,1644,Rear Aisle,-0.98,0.0,0.0
2414,647,909129,89,4.99,ICE CREAM/MILK/SHERBTS,PREMIUM,1,40969132029,438,620,1609,Other Location Display,-0.4,0.0,0.0
2415,771,880384,82,1.0,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,40335910510,424,569,1024,Front End Cap,-0.22,0.0,0.0
2416,786,871252,91,1.0,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1,41259085342,339,633,0857,Mid-Aisle End Cap,-0.58,0.0,0.0
2417,753,10285442,87,1.99,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,1,40788462214,396,607,1851,Other Location Display,-2.0,0.0,0.0
2418,768,1127624,84,2.0,FROZEN PIZZA,PIZZA/ECONOMY,2,40533017015,323,586,1409,Rear End Cap,0.0,0.0,0.0
2419,716,883404,94,1.0,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,41506231765,400,652,1553,Other Location Display,-0.29,0.0,0.0
2420,718,1097001,11,3.34,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,1,27829376147,324,71,1342,Side-Aisle End Cap,-0.65,0.0,0.0
2421,786,989069,17,2.74,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,1,28345131631,339,114,1651,Rear Aisle,-0.25,0.0,0.0
2422,762,9855017,19,1.34,DIETARY AID PRODUCTS,DIET CNTRL BARS NUTRITIONAL,1,28619010121,31862,129,0809,Other Location Display,-0.35,0.0,0.0
2423,731,9487195,20,1.0,BAG SNACKS,POTATO CHIPS,1,28757360801,355,138,1235,Front Aisle,-0.59,0.0,0.0
2424,696,1133018,40,1.99,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,31114680576,369,277,1322,Other Location Display,0.0,0.0,0.0
2425,764,940108,34,1.2,VEGETABLES - SHELF STABLE,PEAS GREEN,2,30532321392,368,234,1618,In-Shelf,-1.18,0.0,0.0
2426,601,938700,62,1.5,VEGETABLES - SHELF STABLE,CORN,3,33329338025,329,430,1707,Other Location Display,-0.87,0.0,0.0
2427,630,6464147,63,5.76,ICE CREAM/MILK/SHERBTS,PREMIUM,2,33444636377,306,439,1425,Front End Cap,-3.82,0.0,0.0
2428,733,13986853,60,0.39,CRACKERS/MISC BKD FD,MULTI-PACK CRACKERS,1,33107000897,298,414,1228,Front Aisle,0.0,0.0,0.0
2429,786,972665,80,2.5,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,40174293184,339,557,0913,Other Location Display,-1.29,0.0,0.0
2430,718,859075,83,2.94,CHEESE,SHREDDED CHEESE,2,40436431168,324,579,1347,Side-Aisle End Cap,-0.26,0.0,0.0
2431,740,1038217,96,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,41758211550,404,670,1551,In-Shelf,-0.39,0.0,0.0
2432,631,927191,97,3.0,SEAFOOD - SHELF STABLE,TUNA,6,41809851263,389,675,1342,In-Shelf,-0.12,0.0,0.0
2433,725,825494,19,2.0,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,2,28572027018,400,126,1643,Rear End Cap,-0.38,0.0,0.0
2434,607,1053763,23,0.5,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,5,29019198186,432,154,2032,Other Location Display,-0.5,0.0,0.0
2435,725,893018,34,2.0,CHEESE,IWS SINGLE CHEESE,1,30515427065,400,230,1630,In-Aisle,-0.99,0.0,0.0
2436,787,957736,26,4.5,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,1,29312030504,389,175,1025,In-Aisle,-1.49,0.0,0.0
2437,718,1110964,35,3.0,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,1,30662756515,324,243,1408,Front End Cap,-1.99,0.0,0.0
2438,731,943513,36,6.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),6,30686351071,355,245,1202,Side-Aisle End Cap,-2.94,0.0,0.0
2439,768,1029743,36,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30743223455,323,249,1859,Front End Cap,0.0,0.0,0.0
2440,614,976335,56,1.5,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,32759445971,288,388,1540,Rear End Cap,-0.73,0.0,0.0
2441,712,5568378,57,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,1,32872460493,448,397,1112,Side-Aisle End Cap,-0.87,0.0,0.0
2442,771,849003,81,1.5,COLD CEREAL,ADULT CEREAL,1,40223130187,359,561,0912,Rear End Cap,-1.42,0.0,0.0
2443,699,1131438,81,3.99,DINNER SAUSAGE,RED,2,40248121387,408,563,1515,Rear Aisle,-3.99,0.0,0.0
2444,779,1053612,78,0.34,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,1,35877527149,446,538,1759,Rear End Cap,0.0,0.0,0.0
2445,771,951190,78,1.0,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,35877740967,359,538,1352,In-Shelf,-1.0,0.0,0.0
2446,733,1036431,96,2.0,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,4,41730718372,356,669,1813,Front Aisle,0.0,0.0,0.0
2447,715,9469110,15,3.99,DINNER SAUSAGE,SMOKED/COOKED,2,28235722379,389,101,1533,In-Shelf,-3.99,0.0,0.0
2448,631,1038217,37,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,30780866496,389,252,1415,In-Shelf,-0.39,0.0,0.0
2449,771,901344,21,1.39,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,1,28788148266,424,140,2033,Rear End Cap,-1.4,0.0,0.0
2450,740,9527290,21,1.88,BAG SNACKS,POTATO CHIPS,1,28789962310,370,143,1509,In-Aisle,-0.26,0.0,0.0
2451,706,954966,21,2.5,CANDY - PACKAGED,CANDY BARS (MULTI PACK),1,28790369600,384,144,1905,Rear Aisle,-0.39,0.0,0.0
2452,715,1019142,37,2.0,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - FLAVORED/OTHER,1,30845481267,354,257,1600,Rear Aisle,-1.49,0.0,0.0
2453,755,9655744,29,1.0,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,29712557658,388,196,1729,Front Aisle,-0.49,0.0,0.0
2454,755,9655744,29,4.0,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,4,29807736600,388,200,1328,Front Aisle,-1.96,0.0,0.0
2455,768,1029743,36,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30701290025,323,247,0510,Front End Cap,0.0,0.0,0.0
2456,699,1007549,58,3.0,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,2,32957005358,408,403,2054,In-Aisle,-1.24,0.0,0.0
2457,699,13007434,52,2.34,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,1,32259591301,408,361,1444,Rear End Cap,-1.05,0.0,0.0
2458,630,10285243,66,1.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),1,33660181195,306,454,1518,Rear Aisle,-0.49,0.0,0.0
2459,696,1067795,64,2.99,CRACKERS/MISC BKD FD,SNACK CRACKERS,1,33493395780,31742,443,1318,Side-Aisle End Cap,-0.5,0.0,0.0
2460,768,960613,91,5.0,DINNER SAUSAGE,COCKTAILS,2,41160090362,323,629,0906,Rear Aisle,-2.98,0.0,0.0
2461,761,859075,71,2.5,CHEESE,SHREDDED CHEESE,2,34267844662,343,490,1944,In-Aisle,-1.06,0.0,0.0
2462,718,1120443,81,2.0,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,1,40199096970,324,559,1740,Front End Cap,-0.39,0.0,0.0
2463,631,1114483,86,2.88,ICE CREAM/MILK/SHERBTS,PREMIUM,1,40680261991,389,598,1541,Front End Cap,-2.51,0.0,0.0
2464,718,834826,82,5.5,BATH TISSUES,TOILET TISSUE,1,40300670729,324,567,1244,Front End Cap,-1.63,0.0,0.0
2465,696,15740900,83,2.49,BAG SNACKS,CANISTER POTATO/TORT CHIPS,1,40387122741,31742,574,2205,Side-Aisle End Cap,0.0,0.0,0.0
2466,718,5587656,75,2.74,COLD CEREAL,KIDS CEREAL,1,35386826227,324,519,1511,In-Shelf,-0.25,0.0,0.0
2467,661,1138292,77,3.56,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,35726827800,427,533,2008,Front End Cap,-0.37,0.0,0.0
2468,647,951590,91,1.69,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,41260642850,438,635,1735,In-Aisle,-0.4,0.0,0.0
2469,788,962782,94,0.5,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,1,41519231996,360,653,1927,In-Shelf,-0.03,0.0,0.0
2470,696,976955,94,0.44,VEGETABLES - SHELF STABLE,CORN,1,41531865971,31742,654,1421,Rear End Cap,-0.35,0.0,0.0
2471,614,849843,98,0.88,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,41917985431,288,683,1110,In-Aisle,-0.41,0.0,0.0
2472,699,913785,18,0.88,CONDIMENTS/SAUCES,CATSUP,1,28512032232,408,121,1947,Other Location Display,-1.11,0.0,0.0
2473,731,893018,18,1.97,CHEESE,IWS SINGLE CHEESE,1,28512215646,384,121,1053,In-Aisle,-1.02,0.0,0.0
2474,718,859010,11,2.44,BAG SNACKS,TORTILLA/NACHO CHIPS,1,27853442317,324,73,1835,Other Location Display,-0.15,0.0,0.0
2475,699,868075,11,0.59,MEAT - SHELF STABLE,HOT DOG CHILI SAUCE,1,27870861905,408,75,2014,Rear Aisle,-0.1,0.0,0.0
2476,766,847374,20,6.49,BEERS/ALES,BEERALEMALT LIQUORS,1,28675981053,322,134,1650,Side-Aisle End Cap,0.0,0.0,0.0
2477,788,10285144,37,4.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),4,30818911014,360,254,1413,Front Aisle,-1.96,0.0,0.0
2478,761,1075214,22,5.99,BATH TISSUES,TOILET TISSUE,1,28941058133,292,151,1948,Front End Cap,-3.0,0.0,0.0
2479,680,9527161,24,1.88,BAG SNACKS,POTATO CHIPS,1,29183217629,424,166,1613,In-Aisle,-0.26,0.0,0.0
2480,731,1128016,16,10.0,MEAT - SHELF STABLE,CHILI: CANNED,4,28243957055,438,105,1625,Other Location Display,-1.96,0.0,0.0
2481,622,8090532,24,5.0,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,29125365731,298,162,1135,Rear Aisle,-4.18,0.0,0.0
2482,680,1077490,35,1.5,SOUP,CONDENSED SOUP,2,30579982920,424,237,1803,In-Shelf,-1.08,0.0,0.0
2483,712,911812,35,1.5,SOUP,CONDENSED SOUP,2,30627705416,448,241,1058,Rear End Cap,-1.08,0.0,0.0
2484,630,9859110,39,1.75,BAKING NEEDS,BITS & MORSELS,1,31032787733,306,271,1644,In-Aisle,-0.99,-0.25,-0.25
2485,761,910032,29,3.29,HOT DOGS,PREMIUM - MEAT,2,29738814670,343,197,1835,Rear Aisle,-3.29,0.0,0.0
2486,740,906262,45,1.29,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,31625030990,370,311,1150,In-Aisle,0.0,0.0,0.0
2487,699,895241,46,3.99,MAGAZINE,FOOD-MAGAZINE,1,31711110794,408,316,1314,Front End Cap,0.0,0.0,0.0
2488,725,5566066,62,1.67,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,33294305741,400,428,1149,Front End Cap,-1.52,0.0,0.0
2489,718,7144132,49,7.98,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,2,32007132274,324,340,1649,Rear End Cap,-4.0,0.0,0.0
2490,647,1062966,58,0.99,HOT DOGS,ECONOMY - MEAT,1,32956882306,438,402,1820,Rear Aisle,-1.2,0.0,0.0
2491,718,898212,66,2.39,BAG SNACKS,TORTILLA/NACHO CHIPS,1,33660261948,324,454,1824,Side-Aisle End Cap,-0.2,0.0,0.0
2492,614,965766,67,1.5,CHEESE,IWS SINGLE CHEESE,1,33920182430,288,466,2133,Rear Aisle,-0.69,0.0,0.0
2493,630,903745,71,0.5,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,2,34258878010,421,489,1911,In-Aisle,-0.69,0.0,0.0
2494,768,834117,73,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,34762175906,323,504,1158,Rear Aisle,0.0,0.0,0.0
2495,768,1048300,82,3.74,FROZEN PIZZA,PIZZA/PREMIUM,1,40335691831,323,569,1526,Rear End Cap,-2.5,-0.75,-0.25
2496,786,1118623,87,12.99,BEERS/ALES,BEERALEMALT LIQUORS,1,40788535237,339,607,0905,Mid-Aisle End Cap,0.0,0.0,0.0
2497,631,914190,88,2.0,CHEESE,CREAM CHEESE,2,40841242191,389,611,1332,In-Aisle,-0.9,0.0,0.0
2498,606,951190,77,1.49,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,35865647196,446,537,1726,Front Aisle,-0.63,0.0,0.0
2499,779,1071939,99,1.76,CHEESE,CREAM CHEESE,2,41958002221,343,686,1132,In-Aisle,-0.68,0.0,0.0
2500,605,1003188,99,1.29,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,1,42030832391,339,691,1808,Other Location Display,-0.3,0.0,0.0
2501,725,904373,20,2.0,ICE CREAM/MILK/SHERBTS,QUARTS,2,28744797418,400,137,1634,Front End Cap,-2.18,0.0,0.0
2502,607,995896,22,2.5,BACON,PREMIUM,1,28867840398,432,147,1030,Rear Aisle,-1.99,0.0,0.0
2503,768,874736,32,0.5,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,30174071549,323,221,1235,Front End Cap,-0.09,0.0,0.0
2504,605,883963,26,1.25,HOT DOGS,ECONOMY - MEAT,1,29339790102,369,177,1809,Rear Aisle,-0.94,0.0,0.0
2505,725,937614,34,1.19,CANNED JUICES,LEMON JUICE & LIME JUICE (OVER,1,30579461870,400,236,1731,Rear End Cap,-0.2,0.0,0.0
2506,725,826249,55,0.99,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,32630351397,400,380,1427,Front Aisle,-0.3,0.0,0.0
2507,761,951590,45,0.97,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,31541891387,343,307,1213,In-Aisle,-0.82,0.0,0.0
2508,606,9526757,45,2.0,BAG SNACKS,POTATO CHIPS,1,31623622424,446,309,1923,Rear End Cap,0.0,0.0,0.0
2509,761,1099319,63,2.69,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,33385748202,384,434,2001,Rear End Cap,-0.3,0.0,0.0
2510,647,893501,50,1.76,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,32091499061,343,347,1609,Rear Aisle,-1.42,0.0,0.0
2511,755,12731518,50,0.99,CANDY - CHECKLANE,CHEWING GUM,1,32113926204,338,348,1445,Front Aisle,0.0,0.0,0.0
2512,762,956840,53,1.89,COLD AND FLU,COUGH SYRP/LOZNG-DRP/XPCTRNT,1,32408325139,31862,365,0838,Side-Aisle End Cap,0.0,0.0,0.0
2513,696,898068,60,1.67,CONDIMENTS/SAUCES,CATSUP,1,33106762424,448,414,2055,In-Shelf,-1.02,0.0,0.0
2514,699,947201,80,2.0,FROZEN MEAT,FRZN BREADED PREPARED CHICK,1,40106710958,408,552,1348,Front End Cap,-1.29,0.0,0.0
2515,699,956609,80,1.0,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,2,40106710958,408,552,1348,Other Location Display,-0.78,0.0,0.0
2516,631,1066289,86,1.25,DRY MIX DESSERTS,PUDDING&GELATIN CUPS/CANS,1,40652456881,389,596,1624,Rear Aisle,-0.54,-1.25,0.0
2517,718,833025,81,1.03,MILK BY-PRODUCTS,SOUR CREAMS,1,40249207635,324,564,2033,Side-Aisle End Cap,-0.1,0.0,0.0
2518,718,1096036,81,1.74,CHEESE,IWS SINGLE CHEESE,1,40249207635,324,564,2033,Side-Aisle End Cap,-0.12,0.0,0.0
2519,786,1096036,92,1.5,CHEESE,IWS SINGLE CHEESE,1,41366492927,339,641,1659,Rear Aisle,-0.36,0.0,0.0
2520,764,840601,89,1.0,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,40899936099,33923,616,1508,Rear Aisle,-0.39,0.0,0.0
2521,647,913038,98,4.99,ANALGESICS,ADULT ANALGESICS,1,41891790569,343,681,1930,Side-Aisle End Cap,0.0,0.0,0.0
2522,786,968025,42,2.32,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,1,31317001165,339,291,1347,Rear Aisle,0.0,0.0,0.0
2523,725,835530,34,3.99,HOT DOGS,PREMIUM - BEEF,2,30515427065,400,230,1630,Rear Aisle,-3.99,0.0,0.0
2524,761,965766,41,1.67,CHEESE,IWS SINGLE CHEESE,1,31185095801,343,283,1838,In-Aisle,-0.52,0.0,0.0
2525,696,898034,39,2.0,BAKING NEEDS,BITS & MORSELS,1,30971600429,31742,266,1111,Front End Cap,-0.99,0.0,0.0
2526,740,1072575,28,3.98,STATIONERY & SCHOOL SUPPLIES,CHILDREN S ACTIVITY,2,29602511099,404,191,1403,Rear End Cap,0.0,0.0,0.0
2527,696,920425,58,14.99,IMPORTED WINE,AUSTRALIAN/NZ WINES,1,32895142464,31742,399,2155,Other Location Display,0.0,0.0,0.0
2528,786,12263932,53,2.0,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,32445975394,339,369,0958,Mid-Aisle End Cap,-0.99,0.0,0.0
2529,725,885307,81,1.67,BAG SNACKS,POTATO CHIPS,1,40248476929,400,563,1607,In-Aisle,-1.32,0.0,0.0
2530,788,8175901,72,3.0,WAREHOUSE SNACKS,MEAT SNACKS,1,34577228505,318,498,1736,In-Aisle,-1.19,0.0,0.0
2531,788,15596488,72,1.49,COLD CEREAL,ALL FAMILY CEREAL,1,34577228505,318,498,1736,Front End Cap,-2.3,0.0,0.0
2532,786,972665,96,3.79,BREAKFAST SAUSAGE/SANDWICHES,OTHER,1,41691785541,448,666,1244,Other Location Display,0.0,0.0,0.0
2533,788,931671,15,1.0,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,28243825874,313,103,1108,Front Aisle,-0.29,0.0,0.0
2534,766,1125382,80,4.0,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,2,40128721968,333,556,1457,Front End Cap,-0.98,0.0,0.0
2535,766,923746,91,1.65,EGGS,EGGS - LARGE,1,41212247133,333,630,1625,In-Aisle,0.0,0.0,0.0
2536,715,1105917,87,1.77,BUTTER,BUTTER,1,40788797084,415,607,1425,In-Aisle,-1.72,0.0,0.0
2537,631,10344585,76,5.0,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,35688883109,389,530,1730,Rear Aisle,-4.38,-2.5,0.0
2538,741,982485,78,2.69,RICE CAKES,RICE CAKES,1,40013755877,315,544,1236,Other Location Display,0.0,0.0,0.0
2539,680,971807,79,1.5,BAKED BREAD/BUNS/ROLLS,RYE BREADS,1,40025762960,424,545,1828,In-Shelf,-0.69,0.0,0.0
2540,696,1037417,97,2.5,FROZEN PIZZA,PIZZA/TRADITIONAL,1,41795220501,31742,674,1157,Front End Cap,-1.15,0.0,0.0
2541,771,1116624,97,0.5,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,1,41810320649,359,676,1140,Front Aisle,0.0,0.0,0.0
2542,764,13986595,98,3.33,HAIR CARE PRODUCTS,SHAMPOO,1,41865226936,33923,679,1947,Rear End Cap,-0.66,0.0,0.0
2543,786,1122568,98,1.88,COLD CEREAL,KIDS CEREAL,1,41904485322,448,682,1053,Rear End Cap,-0.26,0.0,0.0
2544,607,893018,14,1.97,CHEESE,IWS SINGLE CHEESE,1,28110630166,372,95,0719,Other Location Display,-1.02,0.0,0.0
2545,607,1110632,22,2.0,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1,28941572561,432,151,1657,Rear End Cap,-1.99,0.0,0.0
2546,661,1138292,23,3.54,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,28970350011,427,153,0138,Rear End Cap,-0.39,0.0,0.0
2547,661,1138292,23,3.54,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,29035008782,427,157,2346,Rear End Cap,-0.39,0.0,0.0
2548,699,6533608,43,2.67,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,31412526637,408,299,1905,In-Aisle,-1.32,0.0,0.0
2549,692,995311,26,2.0,BACON,BETTER FOR YOU,1,29300076196,335,174,1344,Rear Aisle,-0.29,0.0,0.0
2550,788,8090537,28,2.66,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,29577970762,313,189,1120,Front Aisle,-1.93,0.0,0.0
2551,696,1042438,42,2.68,COOKIES/CONES,SANDWICH COOKIES,1,31242447756,31742,287,2032,Other Location Display,0.0,0.0,0.0
2552,680,1098066,46,0.88,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,31747902634,352,319,1445,Side-Aisle End Cap,-0.41,0.0,0.0
2553,731,5585727,47,0.78,YOGURT,YOGURT NOT MULTI-PACKS,2,31770106832,438,321,1608,In-Aisle,0.0,0.0,0.0
2554,761,1029743,57,3.33,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,32848845308,343,395,2130,Front End Cap,-2.05,0.0,0.0
2555,768,5588161,48,5.99,MEAT - MISC,WINGS (IQF),1,31956250377,323,334,0951,Rear Aisle,-1.0,0.0,0.0
2556,712,999270,60,2.5,BACON,ECONOMY,1,33132965412,448,417,1026,Rear Aisle,-1.49,0.0,0.0
2557,761,885023,87,2.0,BAKING NEEDS,BITS & MORSELS,1,40751981132,343,604,2110,Mid-Aisle End Cap,-0.79,0.0,0.0
2558,696,9884204,78,2.99,DINNER SAUSAGE,SMOKED/COOKED - BETTER FOR YOU,2,36001871161,31742,541,1538,Rear Aisle,-2.99,0.0,0.0
2559,725,927382,78,2.0,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,36027920979,400,540,1320,Front End Cap,-0.75,0.0,0.0
2560,725,987562,78,3.34,CHEESE,SHREDDED CHEESE,2,36027920979,400,540,1320,In-Aisle,-0.22,0.0,0.0
2561,699,1040371,95,1.25,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,1,41627617283,408,661,1811,In-Aisle,-0.35,0.0,0.0
