householdid,productid,storeid,transactiontime,daydate,productdesc,productsubdesc,salesvalue,displayadtypedesc
725,1058779,400,5:39 PM,Jul 3,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,Rear End Cap
731,914190,355,7:41 AM,Nov 14,CHEESE,CREAM CHEESE,1,Rear Aisle
699,9553397,408,7:35 PM,Apr 18,BATH TISSUES,TOILET TISSUE,5.99,In-Aisle
631,1091976,389,7:13 PM,Jul 26,CONDIMENTS/SAUCES,SALAD MUSTARD,0.69,In-Aisle
788,883404,360,11:31 AM,Aug 8,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2.37,Mid-Aisle End Cap
786,826597,339,8:17 AM,Oct 13,HEAT/SERVE,ENTREES,2.99,Other Location Display
786,972665,339,8:17 AM,Oct 13,BREAKFAST SAUSAGE/SANDWICHES,OTHER,3.79,Other Location Display
718,6555324,324,11:06 AM,May 24,STATIONERY & SCHOOL SUPPLIES,WRITING INSTRUMENTS,1.41,In-Aisle
601,12330794,329,8:04 PM,May 20,BAKED BREAD/BUNS/ROLLS,DIET/LIGHT BREAD,1.5,In-Aisle
762,913598,31862,7:18 PM,Jul 23,CANDY - PACKAGED,CHEWING GUM,0.5,In-Aisle
699,1058068,408,7:27 PM,May 23,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,2,Front End Cap
712,9526410,448,11:23 AM,May 24,BAG SNACKS,POTATO CHIPS,2,Other Location Display
771,898510,359,1:13 PM,Aug 1,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1.25,Rear End Cap
725,1105623,400,2:25 PM,Aug 7,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,1,Front End Cap
768,1056005,323,11:09 AM,Dec 2,COFFEE,GROUND COFFEE,5.99,In-Shelf
718,833014,324,5:00 PM,Aug 3,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,2.79,Rear Aisle
712,820347,448,1:08 PM,Sep 14,HOT CEREAL,INSTANT OATMEAL,2,Rear End Cap
722,1098066,359,4:07 PM,May 25,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,0.99,Other Location Display
712,1007512,31742,12:54 PM,Oct 10,HEAT/SERVE,ENTREES,2.99,Other Location Display
631,1050229,389,11:34 AM,Sep 19,SOUP,CONDENSED SOUP,0.6,Rear End Cap
605,859224,369,1:11 PM,Sep 24,BAKING NEEDS,CAKE DECORS & ICING,1.29,Rear End Cap
718,883299,324,1:45 PM,Sep 24,BAKING NEEDS,BREADINGS  COATINGS CRUMBS,1.64,Rear End Cap
647,824272,343,6:31 PM,Oct 12,MISC WINE,SPARKLING WINES,6.99,Side-Aisle End Cap
786,999270,339,1:10 PM,Sep 30,BACON,ECONOMY,2.5,Rear Aisle
605,994928,369,1:29 PM,Mar 4,EGGS,EGGS - MEDIUM,0.34,Rear Aisle
718,1002763,324,10:51 AM,Jan 25,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,0.88,In-Aisle
762,920002,391,8:49 PM,Jan 27,SOFT DRINKS,SOFT DRINKS 6PK/4PK CAN CARB (,2.5,Rear Aisle
614,1045220,288,12:01 PM,Dec 1,MEAT - SHELF STABLE,PASTA: CANNED,2,Front Aisle
718,965378,324,10:34 AM,Dec 3,COOKIES/CONES,CONES,2.07,Other Location Display
766,936594,333,10:55 PM,Mar 15,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,1.19,Front End Cap
712,5569374,448,2:09 PM,Dec 28,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,Other Location Display
718,1092026,324,6:24 PM,Mar 31,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,Rear Aisle
764,965766,33923,9:35 PM,Apr 23,CHEESE,IWS SINGLE CHEESE,2.19,In-Aisle
797,9857388,450,6:41 PM,Jul 8,ORAL HYGIENE PRODUCTS,MOUTHWASH RINSES AND SPRAYS,7.99,Side-Aisle End Cap
696,1121384,31742,2:56 PM,Sep 16,COLD CEREAL,ALL FAMILY CEREAL,1.88,Front End Cap
768,6551990,323,3:22 PM,Jul 27,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,0.99,Rear End Cap
766,1105917,333,8:00 PM,Oct 4,BUTTER,BUTTER,1.88,In-Aisle
696,834491,31742,9:13 AM,May 30,CONVENIENT BRKFST/WHLSM SNACKS,TREATS,2.59,Front End Cap
696,15511584,31742,9:13 AM,May 30,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,2.39,In-Aisle
761,1075214,343,9:27 PM,Aug 8,BATH TISSUES,TOILET TISSUE,5.5,Front End Cap
699,891028,408,12:36 PM,Nov 24,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,1.09,Rear Aisle
740,5577007,404,2:03 PM,Jul 11,BEERS/ALES,BEERALEMALT LIQUORS,7.99,Side-Aisle End Cap
692,826816,335,3:57 PM,Jul 11,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,1,Front End Cap
786,1092835,339,8:53 AM,Jan 19,COOKIES/CONES,VANILLA WAFER/KIDS COOKIES,2,Mid-Aisle End Cap
761,1042907,343,1:37 PM,Feb 7,BACON,PREMIUM,3.79,Rear Aisle
699,862139,408,10:29 AM,Mar 15,SEAFOOD - SHELF STABLE,TUNA,3.3,Rear End Cap
699,942817,408,10:29 AM,Mar 15,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,1.25,In-Aisle
712,1070820,369,11:11 AM,Jan 3,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.69,Other Location Display
647,1046465,343,2:52 PM,Aug 30,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,0.79,Front End Cap
787,867668,443,5:58 PM,Sep 21,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Rear End Cap
766,13213567,333,2:14 PM,Nov 13,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,4.59,Front End Cap
715,15716680,415,9:36 AM,Nov 13,SPICES & EXTRACTS,SPICES & SEASONINGS,2,In-Shelf
718,923746,324,3:38 PM,Apr 3,EGGS,EGGS - LARGE,1.49,In-Aisle
718,1007191,324,12:57 PM,Apr 7,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.89,Other Location Display
716,951221,400,7:48 PM,Apr 8,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,1.24,In-Aisle
661,1138292,427,2:47 PM,Jul 27,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.54,Rear End Cap
605,1007082,369,12:53 PM,Oct 17,FROZEN PIZZA,SANDWICHES&HANDHELDS,2,Mid-Aisle End Cap
741,982485,315,2:14 PM,Aug 10,RICE CAKES,RICE CAKES,2.69,Side-Aisle End Cap
622,1111072,356,9:42 PM,Oct 27,CONDIMENTS/SAUCES,CATSUP,0.79,Rear End Cap
661,1138292,427,5:27 PM,Jul 22,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.54,Rear End Cap
786,878715,339,4:29 PM,Mar 3,BEERS/ALES,BEERALEMALT LIQUORS,15.99,Other Location Display
766,1047769,333,11:24 AM,Nov 25,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,3.99,In-Aisle
647,9526410,343,1:43 PM,Jan 12,BAG SNACKS,POTATO CHIPS,1.88,Side-Aisle End Cap
718,859010,324,5:49 PM,Nov 28,BAG SNACKS,TORTILLA/NACHO CHIPS,3.76,Side-Aisle End Cap
614,1002850,288,8:45 PM,Oct 18,BREAKFAST SAUSAGE/SANDWICHES,PATTIES - RAW,2.5,Rear Aisle
614,865456,288,6:16 PM,Jun 27,CHEESE,LOAF CHEESE,3.99,Other Location Display
631,1038217,389,5:15 PM,Aug 24,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Rear End Cap
661,13038925,330,8:07 PM,Nov 5,CANDY - PACKAGED,SEASONAL CANDY BAGS-CHOCOLATE,5.58,In-Shelf
661,1138292,427,7:58 PM,Dec 4,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.82,Other Location Display
601,957741,329,6:50 PM,Dec 4,LUNCHMEAT,BOLOGNA,1,Rear Aisle
731,1060872,355,1:55 PM,Apr 15,BAG SNACKS,POTATO CHIPS,3.19,Other Location Display
699,13382454,408,2:44 PM,Dec 28,BAG SNACKS,BAGGED CHEESE SNACKS,2.99,Front End Cap
712,914190,448,10:04 AM,Sep 22,CHEESE,CREAM CHEESE,1,Rear Aisle
740,1097239,404,8:38 PM,Apr 21,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,1.67,Front End Cap
718,8090521,324,1:47 PM,Jul 15,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,4,In-Aisle
715,961447,389,6:15 PM,May 10,ICE CREAM/MILK/SHERBTS,PREMIUM PINTS,1,Rear End Cap
768,9884698,323,5:04 PM,Aug 30,LUNCHMEAT,PEPPERONI/SALAMI,2.5,Rear Aisle
762,13007912,31862,8:24 PM,Jun 18,COLD CEREAL,ALL FAMILY CEREAL,2.5,Front End Cap
631,1043035,389,1:38 PM,Oct 20,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,0.89,Side-Aisle End Cap
631,1043035,389,12:19 PM,Oct 24,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,2.67,Side-Aisle End Cap
761,893501,343,11:37 AM,Oct 28,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,Front Aisle
725,893501,400,12:56 PM,Apr 2,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.88,In-Aisle
718,923746,324,12:06 PM,Apr 4,EGGS,EGGS - LARGE,1.49,In-Aisle
788,1108168,360,2:31 PM,Mar 18,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,Other Location Display
607,826249,432,5:22 PM,Mar 19,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1.98,In-Aisle
696,856827,31742,2:49 PM,May 9,COLD CEREAL,ALL FAMILY CEREAL,1.88,Rear Aisle
718,981760,324,10:35 AM,May 2,EGGS,EGGS - X-LARGE,3.93,In-Aisle
718,896369,324,3:53 PM,May 15,PNT BTR/JELLY/JAMS,PEANUT BUTTER,1.89,In-Shelf
614,827180,288,4:05 PM,Aug 20,DINNER MXS:DRY,STUFFING MIXES,1.5,In-Shelf
706,936741,343,4:43 PM,Jul 14,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES- VALUE,5,Front End Cap
788,8090521,313,11:41 AM,Nov 9,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,In-Aisle
725,850841,400,4:47 PM,Dec 21,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,1,Front End Cap
718,984715,324,6:05 PM,Dec 31,SEAFOOD - SHELF STABLE,SALMON,3.38,In-Shelf
706,8090521,343,3:19 PM,Apr 24,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,5,In-Aisle
786,13945141,339,11:01 PM,Jul 19,BAG SNACKS,POTATO CHIPS,2,Other Location Display
630,927960,306,3:09 PM,Jul 20,ORAL HYGIENE PRODUCTS,TOOTHPASTE,1,Side-Aisle End Cap
741,916050,315,8:33 PM,Sep 13,SUGARS/SWEETNERS,SUGAR,1.29,Mid-Aisle End Cap
630,837107,306,1:30 PM,Jun 2,DRY SAUCES/GRAVY,SAUCE MIXES GRAVY MIXES DRY,2.58,Side-Aisle End Cap
786,7442056,339,1:59 PM,Jun 24,ICE CREAM/MILK/SHERBTS,PREMIUM,4.49,Rear End Cap
762,1025522,31862,8:14 PM,Sep 8,COOKIES/CONES,SPECIALTY COOKIES,1.09,In-Aisle
768,834117,323,5:38 PM,Nov 14,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,3.99,Other Location Display
601,849870,306,5:03 PM,Mar 1,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,2.79,Rear End Cap
647,951590,384,4:15 PM,Mar 4,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,3,In-Aisle
788,6534404,360,9:54 AM,Mar 5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,In-Aisle
788,822407,360,12:47 PM,May 13,MEAT - SHELF STABLE,PASTA: CANNED,1,In-Shelf
764,1061220,346,7:54 PM,May 14,REFRGRATD DOUGH PRODUCTS,REFRIGERATED BISCUITS REGULAR,1,In-Aisle
680,988791,424,3:29 PM,Oct 25,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1.5,Rear End Cap
718,5563934,324,4:36 PM,Aug 17,DINNER SAUSAGE,SMOKED/COOKED - BEEF,2.74,Rear Aisle
631,1045515,389,5:01 PM,Jun 16,VEGETABLES - SHELF STABLE,CORN,1,Other Location Display
696,909086,31742,3:18 PM,Jun 20,CANDY - PACKAGED,CHEWING GUM,1.98,In-Aisle
661,856772,427,10:44 PM,Jul 7,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,2,In-Aisle
768,895039,323,6:19 AM,Oct 17,ELECTRICAL SUPPPLIES,INSIDE FROST BULBS,1.09,Rear End Cap
762,1104414,391,8:58 PM,Apr 7,CRACKERS/MISC BKD FD,SNACK CRACKERS,4,Front End Cap
718,859010,327,2:49 PM,Feb 9,BAG SNACKS,TORTILLA/NACHO CHIPS,2.39,Other Location Display
788,978077,313,6:28 PM,Feb 9,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,3.29,Rear Aisle
762,6773230,31862,12:50 PM,Apr 21,FROZEN PIZZA,PIZZA/ECONOMY,2.19,Rear Aisle
696,9527290,31742,4:44 PM,May 6,BAG SNACKS,POTATO CHIPS,1.88,Rear Aisle
715,883963,415,2:38 PM,Sep 12,HOT DOGS,ECONOMY - MEAT,0.99,Rear Aisle
761,1123536,343,12:04 PM,May 20,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,In-Aisle
788,871252,360,3:50 PM,Jun 14,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1,Front End Cap
725,868764,400,1:56 PM,Aug 6,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,3.52,In-Aisle
725,868764,400,2:25 PM,Aug 7,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1.76,In-Aisle
647,8090537,438,2:48 PM,Oct 19,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,8,In-Aisle
631,1045515,389,4:24 PM,Jun 12,VEGETABLES - SHELF STABLE,CORN,0.5,Other Location Display
605,965772,369,1:11 PM,Sep 24,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,6,Other Location Display
768,7410215,323,1:29 PM,Sep 25,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES- VALUE A,2,Front End Cap
768,1101449,323,6:37 AM,Aug 26,FRUIT - SHELF STABLE,CRANBERRY SAUCE,1.58,In-Shelf
768,1096792,323,6:28 AM,Mar 25,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,0.99,In-Aisle
733,7157395,356,4:04 PM,Feb 1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,2,Front End Cap
718,1127716,324,4:36 PM,Dec 1,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,3.33,Other Location Display
699,6463984,408,7:18 PM,Mar 28,HAIR CARE PRODUCTS,SHAMPOO,1.34,Rear End Cap
631,1038217,389,2:58 PM,Apr 21,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Rear End Cap
715,8160319,389,8:00 AM,Aug 8,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,In-Aisle
718,1034343,324,1:05 AM,Jun 21,SNKS/CKYS/CRKR/CNDY,CANDY/CHOCOLATE,1.79,Mid-Aisle End Cap
647,8090521,343,12:14 PM,Sep 4,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.67,In-Shelf
631,987562,389,1:38 PM,Oct 20,CHEESE,SHREDDED CHEESE,2.5,In-Aisle
741,990688,315,4:16 PM,Oct 26,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1.67,Front End Cap
788,1120741,360,5:09 PM,Oct 28,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.59,Side-Aisle End Cap
712,1100927,448,10:39 AM,Nov 1,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,10.99,Other Location Display
788,17900896,360,11:57 AM,Nov 17,CANDY - PACKAGED,SEASONAL MISCELLANEOUS,1,Front Aisle
631,1043035,389,12:00 PM,Nov 18,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,1.34,Other Location Display
788,963727,360,8:35 PM,Nov 23,SHORTENING/OIL,VEGETABLE/SALAD OIL,2,In-Aisle
768,5591814,323,6:13 AM,Apr 29,CHEESE,SHREDDED CHEESE,3,In-Aisle
715,972041,354,1:30 PM,Apr 12,LUNCHMEAT,POULTRY,2,Rear Aisle
787,961554,443,7:22 PM,Sep 16,CARROTS,CARROTS MINI PEELED,1,In-Shelf
761,9655679,438,8:39 PM,Jun 23,BEERS/ALES,BEERALEMALT LIQUORS,7.99,Side-Aisle End Cap
699,843306,408,11:38 AM,Sep 3,FRUIT - SHELF STABLE,PINEAPPLE,1,Rear End Cap
731,5569374,329,2:43 PM,Apr 9,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,In-Aisle
768,1039937,323,7:00 AM,Dec 23,BAKED BREAD/BUNS/ROLLS,PREMIUM BREAD,1.89,In-Aisle
712,1038217,369,11:11 AM,Jan 3,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Front Aisle
761,923003,343,10:08 PM,Apr 29,SYRUPS/TOPPINGS,ICE CREAM TOPPINGS,2.19,Rear End Cap
768,1047944,323,3:45 PM,Sep 12,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,0.97,In-Shelf
614,982955,288,11:14 AM,Apr 30,FROZEN MEAT,FRZN BREADED PREPARED CHICK,2.5,Mid-Aisle End Cap
712,820347,448,12:38 PM,Jul 12,HOT CEREAL,INSTANT OATMEAL,3.89,Rear End Cap
768,1096036,323,5:28 PM,May 3,CHEESE,IWS SINGLE CHEESE,1.25,In-Aisle
786,822785,339,9:02 AM,Jul 20,COCOA MIXES,MALTED MLK/SYRUP/PWDRS (EGGNOG,1.29,Other Location Display
647,9881593,438,6:12 PM,Jul 21,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,4,In-Aisle
718,883404,324,9:53 AM,Oct 23,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.19,Other Location Display
725,919534,400,8:33 AM,Jul 19,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,1.67,In-Aisle
699,1094955,408,4:08 PM,Jul 20,MEAT - SHELF STABLE,SANDWICH SAUCE,1.33,In-Aisle
706,845774,32004,11:29 AM,Jan 18,LUNCHMEAT,LUNCH COMBO,2.59,Rear Aisle
699,1026945,408,7:18 PM,Mar 28,SNACK NUTS,NUTS OTHER,2.5,Rear End Cap
605,988791,369,11:41 AM,Dec 23,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,2,In-Aisle
696,6423751,31742,3:40 PM,Dec 24,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,2.99,Front End Cap
771,938596,359,12:23 AM,Dec 25,FLUID MILK PRODUCTS,REFRIGERATED COFFEE CREAMERS,2,In-Aisle
768,1060872,323,1:58 PM,Apr 2,BAG SNACKS,POTATO CHIPS,3.19,Side-Aisle End Cap
715,844818,389,3:28 PM,Apr 19,BAG SNACKS,CORN CHIPS,1.48,Side-Aisle End Cap
647,827578,343,6:31 PM,Sep 9,HEAT/SERVE,ENTREES,7.98,In-Aisle
718,834117,324,5:14 PM,May 10,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,3.59,Side-Aisle End Cap
761,826249,343,10:42 PM,May 10,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,5.28,In-Aisle
696,8065410,31742,2:56 PM,Sep 16,BACON,ECONOMY,5,Rear Aisle
696,1035386,31742,6:17 PM,Jun 19,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,2,Other Location Display
715,13512131,354,3:33 PM,Jun 22,DOMESTIC GOODS,SEASONAL CANDY BAGS-CHOCOLATE,2,Mid-Aisle End Cap
614,847789,288,10:19 AM,Nov 19,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,In-Aisle
779,871252,343,12:13 AM,Nov 23,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,2,Other Location Display
607,7099176,372,10:37 PM,Mar 15,FROZEN PIZZA,PIZZA/PREMIUM,3.99,Rear End Cap
786,1127328,339,10:17 AM,Jun 8,DRIED FRUIT,RAISINS,1.79,In-Aisle
715,863449,389,5:48 PM,Aug 21,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1,Front End Cap
712,830304,369,10:42 AM,Oct 22,SHORTENING/OIL,CANOLA OILS,3.69,In-Shelf
718,966695,324,8:03 PM,Apr 12,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,Rear End Cap
771,9655101,293,10:16 AM,Apr 8,PLASTIC HOUSEWARES,PANTRY,0.25,Rear End Cap
718,13417673,324,6:09 PM,Feb 11,CONVENIENT BRKFST/WHLSM SNACKS,TOASTER PASTRIES,3.19,Rear End Cap
725,1053763,400,2:38 PM,Mar 16,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,0.6,Other Location Display
718,859010,324,3:43 PM,Jan 1,BAG SNACKS,TORTILLA/NACHO CHIPS,4.78,In-Aisle
761,832678,343,3:54 PM,Jul 11,CRACKERS/MISC BKD FD,BUTTER SPRAY CRACKER (RITZ/CLU,2.23,Rear End Cap
630,842140,306,3:09 PM,Jul 20,CHEESE,SHREDDED CHEESE,1.5,In-Aisle
741,1118393,315,3:28 PM,Jun 1,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.66,Front Aisle
605,1079174,369,4:12 PM,Aug 30,DEODORANTS,ANTIPERSPIRANTS ONLY (ALL OTHE,2.5,Side-Aisle End Cap
722,896444,359,7:59 PM,Jun 4,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,0.88,Side-Aisle End Cap
764,995896,33923,5:27 PM,Jun 29,BACON,PREMIUM,0,Rear Aisle
779,5591170,343,5:51 PM,Aug 13,CHEESE,SHREDDED CHEESE,2.5,In-Aisle
680,990797,424,3:07 PM,Aug 15,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,2,Other Location Display
764,930666,33923,3:08 PM,Sep 9,BACON,ECONOMY,2.5,Rear Aisle
768,834117,323,3:15 PM,Jul 4,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,3.99,Front Aisle
696,1035386,31742,7:11 AM,Nov 6,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,4,Rear End Cap
718,983000,324,4:29 PM,Sep 10,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,4,Rear Aisle
762,920002,391,7:45 PM,Aug 6,SOFT DRINKS,SOFT DRINKS 6PK/4PK CAN CARB (,3.98,Rear Aisle
630,982790,306,3:40 PM,Sep 14,LUNCHMEAT,BOLOGNA,2.99,Rear Aisle
607,887474,432,7:34 PM,Jun 16,MEAT - MISC,GRND/PATTY - FROZEN,6.99,Rear Aisle
722,1104343,359,5:45 PM,Aug 28,BUTTER,BUTTER,2.5,In-Aisle
718,1061068,327,5:07 PM,Sep 27,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES- VALUE A,1,Front End Cap
771,871754,359,10:24 PM,Jul 31,MARGARINES,MARGARINE: TUBS AND BOWLS,1,In-Aisle
762,854405,391,8:23 PM,Feb 24,MEAT - MISC,BREAST - BONELESS(IQF),6.99,Rear Aisle
768,1048893,323,9:20 PM,Jun 11,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,0.88,Front End Cap
761,5569230,343,11:39 AM,Oct 2,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.67,In-Aisle
733,976955,356,11:00 AM,Sep 2,VEGETABLES - SHELF STABLE,CORN,0.88,Front End Cap
631,1038217,389,1:51 PM,Oct 14,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,In-Shelf
779,984232,343,7:14 PM,Oct 16,CHIPS&SNACKS,POTATO CHIPS,2.5,Front Aisle
725,1132343,400,4:49 PM,Oct 18,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,3,Rear End Cap
788,1043590,313,3:20 PM,Oct 4,SHORTENING/OIL,VEGETABLE/SALAD OIL,1.79,Other Location Display
771,834117,424,11:18 AM,May 20,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,3.99,Side-Aisle End Cap
786,1133018,339,9:59 AM,Aug 4,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1.89,Front End Cap
786,907647,339,10:09 AM,Aug 25,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,In-Aisle
718,13940522,324,6:14 PM,Jan 15,COLD CEREAL,KIDS CEREAL,2.99,Front End Cap
718,13008342,324,6:39 PM,Nov 4,CHRISTMAS  SEASONAL,DECOR,0.75,In-Aisle
797,997856,450,4:51 PM,Nov 6,DOMESTIC WINE,POPULAR 1.5LT WINES,11.99,Other Location Display
786,878715,339,8:07 AM,Jan 25,BEERS/ALES,BEERALEMALT LIQUORS,16.49,Mid-Aisle End Cap
733,939323,298,3:39 PM,Mar 4,PLASTIC HOUSEWARES,DISPOSABLE FD STORAGE CONTAINR,4,Rear End Cap
699,10455568,408,2:44 PM,Dec 28,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,2,Front End Cap
797,961803,450,8:42 PM,Feb 21,SOFT DRINKS,JUICE (UNDER 10% JUICE),3,In-Aisle
755,826249,388,1:47 PM,Apr 23,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,0.88,In-Shelf
696,953320,31742,6:17 PM,Jun 19,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,1,Rear End Cap
715,1123842,415,6:57 PM,Nov 15,BACON,PREMIUM,5,Rear Aisle
786,878715,339,9:09 AM,Nov 16,BEERS/ALES,BEERALEMALT LIQUORS,15.99,Front End Cap
725,998558,400,12:33 PM,Nov 18,MEAT - SHELF STABLE,CHILI: CANNED,2,Rear End Cap
779,9337369,343,12:13 AM,Nov 23,CANDY - PACKAGED,CANDY BARS MULTI PACK W/FLOUR,1,In-Aisle
718,1007549,324,2:50 PM,Apr 28,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,2.5,Other Location Display
718,846959,324,5:49 PM,Mar 12,COOKIES/CONES,CONES,1.81,Front End Cap
607,1084203,372,6:14 PM,Mar 14,MEAT - SHELF STABLE,PASTA: CANNED,3,Rear End Cap
725,828114,400,4:34 PM,May 18,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1.04,Front End Cap
